@relation problema
@attribute 'pkg' real
@attribute 'cores' real
@attribute 'ram' real
@attribute 'gpu' real
@attribute 'psys' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
1.64,1.59,0.07,0.00,4.00,138323616,138317000,0,7
1.32,1.27,0.08,0.00,3.38,112346723,9089000,17168000,7
2.92,2.80,0.19,0.00,7.21,248234614,117080000,131090000,7
3.43,3.31,0.21,0.00,8.82,293367446,178206000,115133000,7
3.73,3.57,0.32,0.00,9.50,313231482,145957000,166951000,7
3.75,3.58,0.31,0.00,9.29,312254280,152997000,158997000,7
1.53,1.49,0.06,0.00,3.75,118333978,115345000,2983000,7
0.70,0.69,0.03,0.00,1.72,57277178,56250000,1004000,7
3.27,3.14,0.21,0.00,8.53,280011250,148005000,132004000,7
1.08,1.05,0.04,0.00,2.57,84720907,83706000,996000,7
4.18,4.00,0.34,0.00,10.27,343883074,177782000,165796000,7
2.25,2.19,0.10,0.00,5.73,185932881,184670000,998000,7
4.23,4.05,0.34,0.00,10.61,362470068,216667000,145776000,7
3.71,3.54,0.31,0.00,9.19,308969173,150686000,157672000,7
3.62,3.45,0.31,0.00,9.41,309006665,155872000,152874000,7
0.98,0.95,0.05,0.00,2.63,95824538,95853000,0,7
0.80,0.77,0.03,0.00,1.95,63767401,61765000,1992000,7
2.38,2.30,0.14,0.00,5.91,198234550,185781000,11921000,8
2.16,2.10,0.12,0.00,5.54,184725855,175628000,8981000,8
3.13,3.01,0.21,0.00,8.21,279300704,208202000,71069000,8
1.02,0.99,0.07,0.00,2.58,88430552,80460000,7946000,8
4.33,4.19,0.23,0.00,11.18,372330657,297239000,75060000,8
2.55,2.47,0.14,0.00,6.20,212303851,207269000,5006000,8
1.46,1.40,0.12,0.00,3.59,118480610,111420000,7026000,8
1.51,1.46,0.09,0.00,3.70,124086913,116052000,8003000,8
1.84,1.78,0.16,0.00,4.65,153890793,134796000,18971000,8
1.64,1.59,0.10,0.00,4.05,139566594,128506000,10957000,8
1.89,1.84,0.12,0.00,4.74,157619834,147521000,9967000,8
1.88,1.82,0.12,0.00,4.64,157258783,146235000,11017000,8
1.75,1.68,0.15,0.00,4.36,144698962,136599000,7976000,8
4.99,4.83,0.25,0.00,11.98,410992556,408951000,1999000,8
1.79,1.73,0.11,0.00,4.44,152051034,148005000,4000000,8
2.40,2.31,0.16,0.00,6.42,213135498,201083000,12005000,8
1.43,1.39,0.10,0.00,3.76,123770685,114708000,8977000,8
4.44,4.30,0.22,0.00,10.79,375144160,316006000,59001000,8
1.75,1.68,0.11,0.00,4.57,148424746,139385000,9024000,8
1.45,1.40,0.10,0.00,3.59,121849102,116773000,4990000,8
0.09,0.08,0.01,0.00,0.41,17586180,12446000,4786000,9
0.03,0.03,0.00,0.00,0.12,4490351,2664000,1776000,9
0.57,0.56,0.02,0.00,1.44,45287536,39133000,6020000,9
0.03,0.03,0.00,0.00,0.09,3185936,2138000,1069000,9
0.24,0.23,0.01,0.00,0.59,18737502,14798000,3946000,9
1.22,1.16,0.09,0.00,3.57,129574726,1032000,5164000,9
