@relation problema-weka.filters.unsupervised.attribute.Remove-R2-5

@attribute pkg numeric
@attribute duration_time numeric
@attribute user_time numeric
@attribute system_time numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
5.85,502011766,372990000,128996000,18
4.38,364616115,214350000,150245000,18
0.94,73737396,69725000,3984000,18
1.96,158493070,154381000,4009000,18
2.06,180073349,175108000,4974000,18
1.54,135389865,132366000,3008000,18
0.85,68654205,63485000,4959000,18
1.59,136672728,134643000,2009000,18
1.33,112970776,108952000,3998000,18
2.84,236273970,229221000,7006000,18
1.66,143104100,137073000,6003000,18
3.34,317364663,313316000,4004000,18
1.49,139231542,136214000,3004000,18
1.63,145331029,140290000,5010000,18
1.32,127335920,3771000,3346000,19
0.93,78381083,47213000,31140000,19
4.95,378556821,339454000,39052000,19
3.74,326892180,258870000,67965000,19
1.08,91322199,1138000,5110000,19
0.98,90027701,59677000,30344000,19
1.08,91113726,2272000,3924000,19
1.52,133026862,64998000,67998000,19
0.98,85023743,51998000,32998000,19
1.1,98960673,70929000,27972000,19
1.55,144514964,85287000,59199000,19
1.06,95751122,59834000,35900000,19
1.67,141058978,77016000,64013000,19
0.95,79971207,45491000,34371000,19
0.48,42488665,41467000,1011000,19
1.13,91500796,954000,5326000,19
1.68,139943162,78956000,60966000,19
1.43,129037274,61995000,66995000,19
3.15,259620004,226521000,33076000,19
3.36,280807346,238807000,41966000,19
0.14,11516844,10164000,1016000,20
0.01,1397300,1407000,0,20
0.35,29413517,27395000,2029000,20
0.17,13533855,11451000,2082000,20
0.33,25505514,24402000,1016000,20
0.02,1549552,779000,779000,20
0.18,14218940,11377000,2844000,20
0.34,26066274,26058000,0,20
0.19,15921504,13930000,1990000,20
0.5,43541454,37489000,5919000,20
0.38,30120920,27096000,3010000,20
0.59,56545096,50572000,5949000,20
0.02,1430887,1434000,0,20
0.02,1413632,1410000,0,20
0.01,1378091,1387000,0,20
0.22,17023012,15010000,2001000,20
0.31,24133777,22084000,2007000,20
0.36,30068549,26987000,2998000,20
0.18,16827323,11865000,4943000,20
0.38,30037148,29032000,1001000,20
0.04,3883079,2393000,1196000,21
0.05,4131901,3100000,1033000,21
0.05,4562558,4564000,0,21
1.27,109949268,108942000,999000,21
1.6,139390313,138340000,1002000,21
0.18,15938682,5970000,9950000,21
3.05,269508408,266498000,2994000,21
1.38,119471471,118367000,1003000,21
2.46,230647462,230665000,0,21
0.2,18436899,12277000,6138000,21
1.54,138743502,136671000,1995000,21
0.56,49688276,39927000,8983000,21
0.13,10614305,5733000,4778000,21
0.11,10249875,9206000,1022000,21
0.04,4615766,4627000,0,21
1.55,137780825,135677000,1995000,21
0.1,8491760,4711000,3768000,21
1.27,110642547,109641000,996000,21
0.04,4562181,4563000,0,21
0.28,24162863,22080000,2007000,21
0.14,11467178,7714000,2892000,22
0.29,23805906,21827000,1984000,22
0.28,22299012,21285000,1013000,22
0.14,10346179,9280000,1031000,22
0.13,10402741,9358000,1039000,22
0.3,23115275,22070000,1003000,22
0.12,10052311,9035000,1003000,22
0.3,23349056,20462000,2923000,22
0.13,10302964,9267000,1029000,22
0.11,9564967,8606000,956000,22
0.31,23085833,21184000,1925000,22
0.12,10448289,8347000,2086000,22
0.29,23191540,22168000,1007000,22
0.13,10423101,9366000,1040000,22
0.3,23207191,21075000,2007000,22
0.12,10550603,9587000,958000,22
0.14,12837313,9864000,2959000,22
0.31,23157681,21132000,1921000,22
0.12,11309979,8232000,3087000,22
0.13,10570593,10387000,0,22
0.46,36088066,33640000,2038000,23
1.41,110280447,104039000,6002000,23
1.43,111346321,108219000,3006000,23
1.41,111445830,104383000,7025000,23
0.76,64097058,57999000,5999000,23
0.7,72923069,69898000,2995000,23
0.71,60113299,53070000,7009000,23
0.65,59099424,55047000,4003000,23
0.84,68978254,56959000,11991000,23
1.47,114557108,110542000,3983000,23
1.43,113653598,107626000,5979000,23
0.67,54996456,49005000,5880000,23
0.66,55090307,53056000,2002000,23
0.71,63766012,57767000,5975000,23
1.44,114142513,109999000,3999000,23
1.21,108052120,104022000,4000000,23
0.74,64364947,59321000,5027000,23
1.34,118924528,116817000,2014000,23
1.11,87225237,86206000,1002000,23
1.39,110470613,104507000,5971000,23
0.64,52311302,48861000,3053000,24
0.71,59585101,55487000,4035000,24
0.69,56484356,51493000,4951000,24
0.88,73003805,68931000,4054000,24
1.41,110909874,108882000,1997000,24
0.52,57321887,56303000,1005000,24
1.35,104988938,99967000,4998000,24
0.74,62167669,56127000,6013000,24
0.61,67805202,62645000,5052000,24
1.33,104176786,102050000,2000000,24
1.32,103660335,97594000,6036000,24
0.65,53703704,51605000,1984000,24
0.6,50385837,46334000,4029000,24
0.71,58799403,54794000,3985000,24
1.32,104761256,99669000,4983000,24
1.34,106764041,101759000,4988000,24
0.71,58886321,54870000,3990000,24
1.33,105451060,100446000,4972000,24
0.79,67205701,57144000,10025000,24
1.35,105993577,100970000,4998000,24
2.1,177491504,173178000,3981000,25
