file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,user_time,system_time
515918.exe,57430937,137504417,369945,61101,21245262,119431,211,21848099,95369,57227727,4125286,2138794,54715,76756,<not supported>,6386,<not supported>,76369133,1730,186503,719,50,3338,16742000,0
5220159.exe,10539988,10136590,119647,20065,2877861,42998,185,2877069,42942,3566281,83918,2537757,122489,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,2182000,1091000
5306249.exe,63004467,173056066,280837,45287,33753499,96308,175,32871542,96185,61895408,3800160,3054822,70554,22150,<not supported>,7325,<not supported>,90537908,2411,223187,592,0,961,18425000,2047000
5543997.exe,89177279,214982467,1841036,54047,46553304,102760,221,47938152,95255,73329562,10471656,3121736,138876,3459425,<not supported>,13307,<not supported>,84872305,7824,942448,1476,53,1319,28333000,2023000
5544001.exe,96110077,219476042,1930286,55683,46237690,106002,221,47330546,97815,72597261,10051838,3576322,126733,3379631,<not supported>,14479,<not supported>,85306863,8148,955493,1516,80,3120,29558000,985000
5559815.exe,990496882,2599126917,2089071,172314,604897175,364709,258,605282227,365329,744130743,11802361,353660332,926146,882210,<not supported>,109480,<not supported>,754669656,36532,353468165,9084,430,15276,288587000,998000
5794471.exe,75735025,176229086,260819,42870,35694025,278316,192,35612387,279220,58475161,5424084,3167011,80854,28052,<not supported>,8095,<not supported>,73605731,2580,247356,641,0,992,21322000,1015000
5797219.exe,4752576,8841071,123207,18846,2825510,50170,156,2824718,49743,3544539,83078,2430567,117416,<not counted>,<not supported>,<not counted>,<not supported>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,2967000,0
5838289.exe,1096882584,2705839649,1923303,181127,645345660,437860,237,642897389,444560,779275486,11329906,388988247,1105945,608550,<not supported>,113229,<not supported>,790643901,32544,391160031,9042,2,15037,321918000,1999000
5869801.exe,51195363,123768497,303269,52618,21201254,113410,176,21188002,96895,53993965,2136069,16272384,61755,15966,<not supported>,6431,<not supported>,78147012,1886,15725434,552,62,3077,16517000,1032000
5902390.exe,53923168,126830208,297796,47576,22224600,105167,174,22268110,105553,50120045,4035116,2764203,65431,22852,<not supported>,6567,<not supported>,77985853,2095,203091,543,0,1810,15988000,2997000
