file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,user_time,system_time
7974210.exe,288629468,544665653,1771286,277501,112402250,597840,2474,112633243,590427,176324774,2101821,93060395,995466,153320,25225,32080,23035,181718251,10359,88345233,15357,25876,3644,99597000,8963000
7977254.exe,180230018,250775334,1364478,223988,49462514,376065,2478,51928870,371188,72878148,1992019,31844765,742393,187434,36900,34526,29389,76569481,9518,33146487,19845,22838,2541,65450000,7048000
8177882.exe,215836111,268786762,1645789,303231,55008993,1014499,3259,56895844,998556,79471088,2650975,37279999,893824,200800,74462,35568,30158,72386166,24184,34797305,15127,24457,5696,74038000,11005000
8190404.exe,179493045,250862082,1364872,271178,51543974,379035,2479,52552901,372708,72764980,1997646,32486686,838413,175721,26312,41383,34404,77537248,9762,32905521,19623,22798,2576,63282000,7031000
8224401.exe,174989261,244670929,1398824,242765,49016833,371210,2478,51762598,367341,72733305,1971371,32149323,777803,175581,35359,36217,30022,76855968,11616,32247444,19077,20365,4016,65151000,6910000
8300854.exe,278345393,551158542,832000,166732,112824751,556050,2475,110266168,571924,172303814,2612340,89630791,840254,358915,66751,29850,26037,192397656,6046,97464100,18228,27249,3220,89546000,7043000
8324953.exe,173122189,258326962,1180726,190769,49343446,368116,2477,49106353,361738,69342785,2228275,30701354,613514,285496,38843,25400,21669,75757704,10973,33091242,14659,20217,3652,57253000,4017000
8344240.exe,276360963,557193680,887120,189017,112580573,555348,2474,109227849,563745,169566497,2604030,88415137,803566,340549,59938,33461,26425,194644350,5877,98932598,18339,33309,3282,91281000,5015000
8346271.exe,180928062,251467471,1214315,239410,50486702,370986,2478,52300429,364328,72623048,1744502,32325921,825236,152928,29918,33933,27027,75849445,8965,32450314,19942,19721,9282,65579000,5044000
8380396.exe,190458764,295161324,1027345,116420,60698271,430033,2476,60106731,428328,74133116,2309304,40413791,815775,351879,73043,34812,29942,77469908,8575,43399278,19963,18990,3713,65010000,10001000
