file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-cores/,duration_time,user_time,system_time,perf_time
3075283.exe,101555424,492850,73322066,112153,71449466,116841,153681,580255,191726637,73177,95745614,157,14409,383131891,1952,1.34,1.12,59547813,50372000,8889000,80573163
3088906.exe,194965076,1158184,107147641,627536,107503218,625834,281969,982752,361541916,127010,189787915,274,41000,616848622,4136,2.61,2.17,109635157,100307000,9027000,131029007
3356312.exe,210786639,1278603,115945329,184435,116960808,189232,332248,1096852,388701441,142598,208469601,353,47242,664306949,4527,2.84,2.36,117284494,104031000,13003000,137934814
3403339.exe,114015667,637895,64915550,120472,63778267,120970,184177,606261,195798094,68943,110667688,176,20362,354636969,2605,1.42,1.17,61015249,54659000,6073000,81849003
3562054.exe,200950518,1075767,110137524,172651,113025115,179906,290863,964297,349792786,125974,193118177,290,37866,631808420,3684,2.56,2.14,102626009,96248000,6015000,122762870
3717985.exe,311221061,1903074,178277830,273013,178042921,267527,689109,1734960,603449319,276604,304164098,81,61946,979078027,9537,4.44,3.71,176508799,163186000,13014000,197159829
3737250.exe,155241984,463922,94481546,129550,94429727,124366,145665,634810,247441704,77669,144360817,188,17002,476503664,2145,1.81,1.5,76549080,71255000,5017000,97569355
3777153.exe,111383895,702457,62919983,124236,63699046,123903,169229,659919,199885861,78417,111835281,150,13952,359630689,2605,1.45,1.18,58446824,52145000,6016000,79192580
3960987.exe,120115526,762552,67417921,136381,66414727,134368,193545,693602,213295124,100378,115962607,721,18675,381261743,2994,1.55,1.27,66387452,58123000,8016000,86673796
3989839.exe,107037989,463874,62293112,119107,61845633,119862,173442,531191,182556090,92838,103769979,841,9209,343916701,1957,1.32,1.1,53257121,47014000,5876000,74116570
4033327.exe,155835808,576545,87770578,129635,89658820,127525,137721,611055,249425864,68641,147740689,77,17011,465524378,2146,1.79,1.48,77281288,72955000,3997000,97454807
4045462.exe,116015517,644699,65055860,118254,64337297,114921,172097,633001,198782258,70077,110322190,68,15105,369382150,2605,1.4,1.15,61949480,56695000,4973000,82050112
4115161.exe,211679318,1235188,120836173,190851,118442717,189154,568205,1275988,396472173,197169,208205242,638,35266,676196105,7419,2.83,2.34,119923536,103851000,15824000,139754478
4240010.exe,217831354,1259704,114795632,197901,113061158,198475,383081,1153276,392244548,133942,214529747,1424,33255,685209549,4528,2.86,2.4,114485078,106182000,8013000,134693723
4254596.exe,240619409,1135199,136993610,204346,136634085,207967,320519,1084493,419653884,126912,238536409,108,35200,756533921,3679,3.08,2.56,126671794,119314000,7018000,147770146
441794.exe,182906193,1130847,101582161,252258,102378479,242603,291445,1078961,397918923,129677,183172593,375,2066406,591812972,4136,2.82,2.34,119827658,111457000,8032000,140826177
4443808.exe,241770905,1130187,137318489,191599,137422924,191828,316723,1082137,418777217,111420,238722268,1018,38224,760438104,3480,3.13,2.6,126930520,115706000,10878000,147801778
4469483.exe,161019196,609608,80035756,144356,79232133,147177,204681,704248,263069392,98172,156284056,79,11278,489820070,1957,1.91,1.58,81377130,75076000,6006000,101707445
4484848.exe,161041758,645748,89075143,156108,90278901,153925,186824,678381,270901377,61895,166624996,123,15661,493426516,2146,1.96,1.62,83489687,78204000,5013000,103525830
4513979.exe,154440347,784287,88239226,152672,92442115,145455,119333,644528,263538702,95452,160827889,924,15714,485850981,2146,1.88,1.55,81055707,75789000,4921000,101686444
472510.exe,183309995,624413,88518514,158387,89703543,157411,200305,735826,317357719,58264,185954384,842,17633,561177652,1959,2.27,1.87,96716477,92382000,3973000,117691737
4870928.exe,1175404597,10467778,643795064,995592,644819400,985721,4229343,8600653,2929991205,1492006,1170970873,430,243305,3747593679,60907,20.59,17.08,862617552,774274000,88031000,884201437
