@relation problema
@attribute 'pkg' real
@attribute 'cores' real
@attribute 'ram' real
@attribute 'gpu' real
@attribute 'psys' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
1.02,1.00,0.04,0.00,2.43,82230875,81080000,1000000,2
1.97,1.91,0.08,0.00,4.68,158863563,155855000,2997000,2
2.04,1.98,0.09,0.00,4.91,165506589,163401000,2004000,2
2.03,1.97,0.08,0.00,4.84,163595373,162469000,1002000,2
1.53,1.48,0.07,0.00,3.75,128339074,123269000,4970000,2
1.31,1.28,0.06,0.00,3.21,109090608,106964000,1999000,2
2.38,2.31,0.10,0.00,5.76,197690387,192718000,4992000,2
2.10,2.03,0.09,0.00,5.01,170388824,168280000,1991000,2
1.35,1.32,0.06,0.00,3.28,108001730,104930000,3026000,2
1.33,1.30,0.05,0.00,3.23,106049479,102825000,2994000,2
1.54,1.49,0.07,0.00,3.77,127529678,125513000,1992000,2
2.71,2.63,0.12,0.00,6.78,241842499,236753000,4973000,2
0.93,0.91,0.04,0.00,2.28,76487326,73456000,3018000,2
0.93,0.90,0.04,0.00,2.27,75645712,74636000,995000,2
1.12,1.08,0.05,0.00,2.73,93475416,91463000,1988000,2
2.70,2.62,0.12,0.00,6.50,221980087,219955000,1999000,2
1.34,1.30,0.06,0.00,3.21,106966979,104939000,1998000,2
1.27,1.24,0.06,0.00,3.17,108343523,107334000,1003000,2
1.69,1.64,0.07,0.00,4.04,140883100,139860000,999000,2
1.35,1.31,0.05,0.00,3.20,106943144,106928000,0,2
1.31,1.27,0.05,0.00,3.17,106125807,105125000,1001000,2
2.16,2.10,0.09,0.00,5.15,178970779,177925000,999000,2
2.01,1.94,0.09,0.00,4.86,163057363,162001000,1000000,2
1.48,1.43,0.07,0.00,3.68,131128800,131097000,0,2
8.87,8.60,0.38,0.00,22.26,749688634,748542000,999000,2
2.02,1.97,0.08,0.00,4.84,163401846,161380000,2004000,2
3.73,3.62,0.18,0.00,9.43,333273095,329096000,4001000,2
1.31,1.28,0.05,0.00,3.18,105555427,103470000,1989000,2
0.88,0.85,0.04,0.00,2.18,76970412,74963000,1999000,2
1.31,1.27,0.06,0.00,3.20,105954887,102941000,2998000,2
2.98,2.90,0.13,0.00,7.25,249038308,246982000,1999000,2
1.32,1.29,0.05,0.00,3.15,106560299,101557000,4978000,2
1.57,1.53,0.07,0.00,3.78,130637911,127539000,2989000,2
1.55,1.49,0.07,0.00,3.75,130475927,127311000,3007000,2
1.57,1.52,0.07,0.00,3.74,129302156,127193000,2003000,2
2.00,1.95,0.08,0.00,4.80,163415862,159375000,3984000,2
2.03,1.98,0.09,0.00,4.88,164122404,161099000,3001000,2
1.53,1.49,0.07,0.00,3.69,128829215,127818000,1006000,2
0.93,0.89,0.04,0.00,2.24,75053305,74957000,0,2
2.19,2.12,0.10,0.00,5.33,186126390,185170000,995000,2
3.94,3.81,0.20,0.00,9.96,336917895,331820000,4997000,2
1.96,1.90,0.08,0.00,4.74,159398516,157377000,1992000,2
0.92,0.88,0.04,0.00,2.23,75203246,74081000,1001000,2
0.93,0.90,0.04,0.00,2.27,76738844,73531000,2981000,2
2.77,2.69,0.12,0.00,6.70,235147389,234146000,1000000,2
2.00,1.95,0.08,0.00,4.81,162106746,159007000,3000000,2
1.35,1.31,0.06,0.00,3.29,107205845,103061000,4002000,2
1.36,1.33,0.06,0.00,3.23,108208022,105109000,3003000,2
0.91,0.89,0.04,0.00,2.21,75252082,73216000,2005000,2
0.93,0.90,0.04,0.00,2.24,75507660,71294000,3960000,2
3.67,3.55,0.18,0.00,8.95,316864335,311828000,4997000,2
2.04,1.97,0.09,0.00,4.88,163423879,160454000,2989000,2
1.90,1.86,0.08,0.00,4.65,158132778,157031000,1000000,2
2.00,1.94,0.08,0.00,4.81,159508668,158436000,1002000,2
2.36,2.29,0.10,0.00,5.69,198097153,197065000,1000000,2
0.90,0.88,0.04,0.00,2.22,74527350,73512000,1007000,2
1.32,1.28,0.05,0.00,3.19,106474418,105443000,994000,2
1.00,0.98,0.04,0.00,2.50,83045150,80033000,3001000,2
1.35,1.31,0.06,0.00,3.31,107436730,104400000,2982000,2
0.89,0.86,0.04,0.00,2.23,76867992,75844000,1011000,2
1.54,1.49,0.07,0.00,3.76,127774743,126754000,998000,2
2.02,1.96,0.08,0.00,4.91,164105114,160987000,2999000,2
1.52,1.47,0.07,0.00,3.75,127947890,126808000,998000,2
1.33,1.29,0.05,0.00,3.23,105691997,104689000,997000,2
1.33,1.29,0.05,0.00,3.24,105602981,103548000,1991000,2
3.75,3.63,0.18,0.00,9.41,320681757,316651000,3995000,2
1.72,1.67,0.08,0.00,4.17,143040313,138016000,5000000,2
4.40,4.26,0.20,0.00,10.84,372285296,365255000,7004000,2
1.32,1.29,0.06,0.00,3.21,106165128,104144000,2002000,2
2.00,1.95,0.08,0.00,4.82,161522425,158491000,3009000,2
2.79,2.71,0.13,0.00,6.79,240499268,234469000,6012000,2
1.28,1.25,0.05,0.00,3.15,105331355,104333000,1003000,2
1.34,1.30,0.06,0.00,3.21,106992831,104974000,1999000,2
0.86,0.84,0.04,0.00,2.17,77853049,76677000,1008000,2
4.33,4.20,0.18,0.00,10.48,362655565,358641000,3996000,2
3.63,3.53,0.16,0.00,8.65,300094096,297930000,1999000,2
2.95,2.85,0.15,0.00,7.73,248512620,240850000,7024000,3
3.23,3.14,0.15,0.00,8.09,265962968,261762000,3996000,3
2.63,2.56,0.13,0.00,6.70,230595302,220581000,9981000,3
4.65,4.52,0.23,0.00,11.98,394654167,323662000,70926000,3
3.50,3.40,0.17,0.00,8.93,297452595,291446000,5988000,3
4.81,4.66,0.23,0.00,11.97,411404480,360362000,50909000,3
4.62,4.47,0.23,0.00,11.52,399347001,346264000,53040000,3
4.93,4.78,0.23,0.00,12.54,422298070,361142000,61024000,3
