file,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,page-faults,iTLB-load-misses,iTLB-loads,instructions,duration_time,user_time,system_time,perf_time
5414757.exe,258253,68452704,46259073,515891,10910,64247,4863,14630,56678676,63372,56684917,47206,16767,479555,99776739,2798,90872004,248,49398290,322,692,2357,219690128,26913800,24662000,1973000,41232731
5869113.exe,129050,111836759,77416971,672608,15097,104946,52436,59433,63903971,354787,63681441,347319,89103,1063013,179591306,5123,114257505,2086,80323080,350,1386,5151,341860632,48003433,47444000,0,62188772
5884549.exe,132468,113409017,78665158,675054,12527,98451,30907,46732,62974522,327528,62920482,326951,40617,882971,177086120,7498,113205087,2819,79689835,351,1425,5794,339816565,48057445,46716000,1015000,62262663
591151.exe,155499,111664148,77542374,715460,12634,108102,27919,48679,63642769,342589,63642294,345055,46256,900010,177503811,5374,114618724,2203,80992515,352,3875,4030,344162134,47481918,46219000,1004000,61794670
5976921.exe,184976,112312187,78533131,667336,12570,94319,28749,46496,62566151,328316,62668301,328639,45482,904511,178293154,9739,113164295,3540,79908458,352,1399,5343,339192606,48256434,46990000,999000,62399779
5980253.exe,142637,110813454,77571282,661735,12401,95435,30660,46525,62844998,326416,62900578,327390,40301,907958,178862812,9810,113607042,3568,80034347,350,1472,5332,340230452,48308613,46979000,999000,62404457
6028185.exe,124637,71323770,47194107,491658,22518,76135,7902,14657,56380230,66880,56259080,52402,23398,445878,99350850,2727,91256111,221,49001728,224,726,3032,221624766,26443867,24031000,2002000,40746987
6047500.exe,136252,112090001,77727974,693686,13522,94303,25868,48978,63011372,339111,63366806,340509,42609,897357,178240564,7543,115128958,2088,80904663,351,4803,5629,344094739,47725828,47445000,0,61854201
6079734.exe,171410,112543404,77784856,718185,12860,95924,34948,58461,64116192,364437,64002442,361790,58963,924777,178037779,6143,113487852,2370,79188533,424,13452,3195,345563596,48411774,46112000,2004000,62776874
6109493.exe,175501,114921753,78656959,726625,13563,96016,28438,49699,63349242,338828,63549382,339766,45715,957682,179362542,5196,115766472,2227,81170187,544,1460,4785,346710093,48655551,44451000,3951000,62682140
6146072.exe,131267,111607622,77039043,711217,14564,96961,29902,52114,63117394,369811,63191537,370210,46744,921413,178317759,5286,114104857,2263,79994379,349,18068,4820,339481889,47809720,47532000,0,61968911
6186538.exe,211027,111526584,78009262,728832,12778,76951,19606,53666,59179818,334336,60127236,334073,81487,1284888,173565764,6037,113314628,2959,79456051,352,4276,5620,339533149,51467673,50180000,1003000,65727121
6200657.exe,181429,32509108,11635500,600149,14119,54329,1136,8290,27560170,32317,22456454,143319,7413,329399,49480307,1976,41394352,1120,15204939,163,1344,1334,97147420,15449930,13148000,2022000,30358838
6265278.exe,101554,40970650,25486185,539856,12610,87998,45962,64512,36010469,449047,38315025,351919,53089,577734,83505283,2387,45438089,215,31297502,357,649,468,176418174,22301605,19998000,1999000,36650323
635598.exe,133911,112108044,78110410,673708,13446,94166,28110,47068,62741202,329092,62880529,336922,77052,962873,177729922,5599,113534633,2470,79998154,352,1458,5616,340342871,48008077,46725000,994000,62036323
6426681.exe,172897,111298941,77734735,760815,13209,77302,20112,49871,60228562,323647,61239864,322278,67039,1259732,177446626,5744,114542391,1979,80027470,352,3620,7685,339867592,51223859,46968000,3997000,65279074
6771116.exe,199532,79827001,59095157,726524,14006,80598,29032,47243,44813284,307759,44697081,308962,80639,876968,143753466,4826,83519199,1416,63899983,356,2055,2288,258328266,38665117,36302000,2016000,53076482
6796016.exe,132939,112499827,78012705,692990,12306,97045,30418,48060,62634625,327489,62601218,329210,40623,921472,176720617,5363,113126772,2280,79720150,351,1501,9121,339514225,48061204,46796000,1017000,62322887
6828397.exe,225820,70075320,47645921,458998,10931,65902,19731,41171,55071818,51685,55238222,41175,53340,459891,99385722,3097,88190909,1785,48842964,323,853,2324,216259440,26541588,25229000,1009000,40839200
7766424.exe,224110,94919940,70750217,722095,16069,80831,3625,16725,67808250,59397,67589917,52185,14290,585324,149927041,4024,119315851,379,79128717,226,1899,2923,314163396,40266246,38959000,998000,54437942
779257.exe,298867,97656167,70949976,888188,16914,98636,2761,16391,67980784,81833,68009853,68380,181498,850869,154302545,4142,122239293,423,81258901,323,1900,2862,319472463,40764751,39398000,984000,55243178
779384.exe,214928,78891912,58549956,763974,14204,83077,28615,44069,44787611,300326,44704623,301297,39798,787254,144839302,4018,84610259,1674,64073884,358,1868,2071,258178636,39109771,37837000,970000,53556467
7804624.exe,185231,80617310,59099942,754996,15418,81644,27800,45638,45056709,304107,44941156,305427,41785,809100,145821443,4178,84897219,1492,64135652,364,2033,3328,258959395,39143053,35858000,2988000,53119087
791293.exe,229122,102694966,76909131,711720,14128,88586,20295,27817,68559144,62311,68837588,57779,46047,760130,157626321,5076,125190104,5665,84285452,454,2204,4497,330562674,42852202,40565000,1978000,57042678
8425383.exe,149601,113665472,78422237,693702,14709,100837,28876,47832,63097820,329463,63077960,331866,44704,935822,177000603,5179,114170347,2072,80296522,450,2076,5485,342352926,47620084,44373000,2958000,61815422
8455115.exe,179856,113224585,78591845,685609,12257,93983,26862,54305,63312475,339507,63335259,339310,68380,948751,178154400,5200,114435076,2063,80721874,350,2804,2383,343164378,47873561,45593000,1982000,62256033
8540612.exe,212103,99038371,72815342,714630,15126,86751,2789,17752,68451591,67965,67840255,57971,26085,627085,153023793,4215,122171959,378,82562423,227,1933,3167,323625666,41152881,39856000,996000,55565862
