@relation problema
@attribute 'cpu-cycles' real
@attribute 'instructions' real
@attribute 'cache-references' real
@attribute 'cache-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-misses' real
@attribute 'page-faults' real
@attribute 'branch-loads' real
@attribute 'branch-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-stores' real
@attribute 'L1-icache-load-misses' real
@attribute 'LLC-loads' real
@attribute 'LLC-load-misses' real
@attribute 'LLC-stores' real
@attribute 'LLC-store-misses' real
@attribute 'dTLB-loads' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-stores' real
@attribute 'dTLB-store-misses' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
107612594,223363664,374184,69162,39575902,226853,135,41371129,223155,62395549,246971,32021013,144020,93045,?,13711,?,73803700,13195,32910798,1981,53,5445,35006165,31563000,2959000,56887640,0
106569957,221234186,411461,65966,41065941,251611,135,42739414,248398,63614035,227445,32071351,148133,93382,?,14699,?,72780868,12810,32335197,2001,60,5164,35966251,31693000,3961000,56667089,0
509579299,756511149,842105,107421,153218281,912119,127,152940309,909744,244485740,348917,140965889,546645,184234,?,56659,?,250206274,1033013,141113977,106683,61,479910,152383369,126014000,26002000,174266735,0
507148281,760889858,876321,119328,154023604,830283,129,153846544,825401,247722693,362213,141235506,541264,187764,?,56634,?,254202984,1243143,141804884,106880,72,291683,152388402,120984000,30996000,173504041,0
513329702,753831368,881286,110036,152823107,913190,129,152269109,911054,241695202,388218,140282421,536354,180502,?,54322,?,248012480,1343288,141288541,106997,81,486566,153889091,124631000,28914000,175353162,0
131183414,254208533,422226,65561,46054680,387929,138,45331894,383554,65094903,295860,32123067,177866,97020,?,15993,?,74237340,34298,33500053,1706,0,3767,41555415,39162000,2008000,63578156,0
106791021,218467626,419014,68082,41273798,407681,134,43259785,406188,64432186,237697,32615664,161333,90819,?,13212,?,73063202,13032,32245209,2003,66,5297,35797714,33410000,1965000,57141929,0
502444181,764478049,796065,105582,154277367,712700,128,154223520,711368,247970427,333894,140662526,559331,191266,?,54990,?,251895749,1339112,140609011,106230,24,161259,150039820,121798000,27953000,171325791,0
294447925,322871803,548997,86685,62708628,527895,133,62329729,530004,91732969,301575,50705656,329155,139075,?,31706,?,93543492,1232414,51055712,105389,343,184452,86012829,60769000,24905000,107172871,0
515543086,759969692,891965,116589,153371946,725042,129,153516339,719304,246865577,361053,140734418,566342,186655,?,55098,?,254078670,1395896,141259644,106795,207328,32257,155259611,135865000,18981000,176420429,0
518458337,764390324,848723,129239,153535498,910546,129,153396088,912335,245033476,346582,140870804,573417,196690,?,55346,?,250368171,1239054,141504139,106867,197,359073,150004904,123528000,26111000,171993645,0
519777853,754427258,823932,110107,152710678,910955,129,152952551,915417,245232836,347789,141200562,533029,179671,?,55764,?,250690316,1240402,141130427,106574,59,515624,152661664,117471000,34843000,174603458,0
530812273,771624113,1019300,120523,153439355,888478,128,152448767,861286,243390077,353148,140084291,557613,185503,?,57895,?,252868182,1067826,143438970,107620,502,506414,154428055,136126000,18016000,175841510,0
506471591,755986913,817580,107629,153837399,709727,128,154145293,709201,248570450,370317,141395907,547309,186946,?,54388,?,252736359,1235783,140764658,106402,182,248922,148877612,115451000,33129000,169610091,0
305048203,320897558,631896,88782,61848260,587411,136,61927261,585512,93703245,330905,52582195,349749,148333,?,36316,?,96968142,1249120,52599797,105725,423,390180,93603843,67146000,26057000,114978600,0
507950906,761211800,829906,108945,153752276,716915,127,153488048,715330,246802860,348301,140608364,529805,189276,?,55821,?,252956742,1143947,141333847,106786,57,316820,152095229,117525000,34152000,173679946,0
513648404,758232311,882142,123240,154094360,725773,127,154282537,723095,248768877,365705,141487309,543170,188377,?,56423,?,253111014,1238854,140965996,106323,363,282269,153855043,123440000,29864000,176268540,0
103114989,217641517,409829,69207,41820557,243203,136,42916497,245883,64111919,253465,32662564,153131,97076,?,14525,?,72951999,15947,32287194,1934,55,5390,34763903,33449000,1013000,55982438,0
513735728,759255575,916599,134203,154425983,736842,129,154087448,737010,248178277,326600,140713833,542133,186159,?,56438,?,252971431,1346640,141156023,106681,77,271880,153153777,127811000,24963000,175273364,0
500946747,762901768,834930,115296,154482687,918316,127,154514688,921360,246456764,328105,140228865,567039,192020,?,55836,?,248711026,1566646,140491220,106091,102392,259003,150147572,121813000,27957000,170788298,0
109629989,233507673,383511,67989,41815646,184172,135,42663903,178133,63152731,241257,31452796,139685,90450,?,13183,?,72897067,15865,32723077,1887,79,5111,34281660,33012000,1000000,55209613,0
508802122,763494632,798784,110750,154000284,713698,126,153702436,712274,246504042,354323,139773888,551685,179682,?,54212,?,252626643,1323182,141440979,107117,74,191050,152763911,121571000,30891000,174393031,0
519991425,758737885,880337,118509,153399425,825255,128,153392481,824038,247054496,378239,141226910,602457,186837,?,54687,?,253975113,1435614,142022213,107056,60,323464,156494979,123266000,32804000,177057764,0
1070482497,223188627,1483137,181352,21898342,427082,131,22011161,434417,5884078,447702,3423094,934475,250982,?,111648,?,3198323,39922,3219796,9443,212,15860,312922269,311074000,1000000,362267477,1
214936288,123876524,366007,39856,5697726,183034,63,5735041,186798,1920090,132304,857472,239989,66691,?,24498,?,576664,7696,627756,1856,0,2785,65084959,63789000,996000,86689867,1
177287965,136384662,438811,70402,4205895,133646,128,3915980,116684,3041224,168176,871359,163910,40702,?,19008,?,891949,10052,794264,1949,137,5501,53249828,51991000,999000,74736838,1
125385683,100035169,334418,49239,5947583,213643,128,5910631,219820,3107510,161778,680191,126958,32042,?,13883,?,364474,4606,385157,1101,12,3158,38786249,37428000,1011000,59006628,1
298910921,225204151,513689,74685,4052396,154047,133,3997790,160604,3809565,226007,1516267,302072,88466,?,33959,?,1309960,12586,867528,2495,40,3747,86760269,84470000,1987000,107402287,1
582785914,316492807,924690,113436,21397575,232362,132,21355605,237955,4226021,280164,1730794,537836,136903,?,61579,?,1608842,23689,2034981,5455,60,9316,175062669,173724000,998000,195823589,1
628811278,564062931,922882,111618,62806902,235728,131,62602394,243152,34715299,314926,33083916,594806,163045,?,67434,?,33308912,24899,33218310,5247,5,8160,187764835,185468000,1994000,209043043,1
156372476,88849929,341292,49691,5739793,232011,193,6121547,235361,3895272,226725,1578718,324755,90817,?,21045,?,584588,7499,567779,1524,100,2019,45231573,43902000,1003000,66055626,1
2177244186,2327036390,6853591,2886878,276270316,1891890,17203,276564540,1932738,94857974,7994140,68120447,3647171,4874628,?,1404340,?,106376968,1465784,73214509,125932,24014,487158,518130431,516645000,999000,539913855,1
563856467,76442325,829827,109937,5242609,241740,132,5313207,252354,4712541,334074,2354230,568629,169892,?,61578,?,1954872,19418,1598903,4647,0,6922,166370926,165059000,1000000,187897278,1
224974276,141967052,479085,97546,6887157,324064,281,8066430,327824,8031074,503432,4824998,727958,148582,?,32047,?,1373575,15795,1113501,2095,0,3058,68104186,66846000,997000,89620736,1
615881715,673831536,895003,115754,56354810,241619,131,56241324,249918,4527574,332716,2271489,607641,149249,?,64479,?,1983026,26094,2147202,5458,456,9797,183789067,182470000,1002000,205420116,1
1760172537,1992648698,2304929,264950,210969863,569285,130,210776732,575596,7399417,636431,5100574,1554626,434915,?,180751,?,4560242,66039,5035258,15015,159,22599,520073415,518684000,1001000,541821441,1
143892054,35344180,355322,51275,2862976,106598,131,3011569,113055,3259273,186223,773558,191926,58241,?,17529,?,428641,5327,471428,1325,0,2090,45271108,42100000,2937000,66623978,1
126463711,80944844,364932,49693,5153166,167611,134,5123169,155008,3444073,136583,452769,130542,32929,?,14365,?,371261,4968,404217,1168,0,1802,40391241,39115000,977000,61282632,1
93744205,86109815,334028,53878,3703461,98513,131,3459655,84434,2462068,106188,328020,121168,35350,?,12762,?,744781,8259,632990,1460,379,3244,31476572,29227000,2015000,51674176,1
479849633,87879949,759289,97047,7485301,276743,133,7545574,280678,4369097,271307,1733858,459690,126580,?,53535,?,2524147,16740,2192369,4173,5,6121,143100917,141442000,996000,164826469,1
1398121389,1634946958,1886887,234987,130578620,484210,128,130714375,500532,73490795,561264,71652886,1248525,332934,?,148071,?,71463218,51367,71640999,12198,197,21312,412475743,411074000,1000000,434607893,1
142052604,83438720,369631,56002,4102062,105556,132,4271039,119296,3164961,184097,786350,183514,54514,?,19659,?,445351,5634,467501,1317,8,2510,45656667,44378000,1008000,66761614,1
1763845178,1999207931,2388904,305349,213123588,609260,127,213017880,592793,9344570,728640,5618580,1626821,430626,?,181121,?,5154909,72430,5466564,15441,146,23858,514969528,513597000,999000,533512630,1
78388957,61043288,240302,39592,2622363,78935,131,2437231,82813,2605911,144545,849568,110821,34750,?,11764,?,740297,3285,273851,748,0,1114,26450872,25063000,1002000,48004185,1
214187732,144584385,416541,63866,3798836,129381,128,3712186,137168,3370352,204791,1120926,241605,66283,?,25558,?,1021817,7727,643084,1873,0,2921,66368558,63983000,1999000,87994415,1
454355442,73705225,771830,94239,7553877,254305,134,7282943,241417,3993308,264368,1496570,439692,118219,?,49087,?,1418386,19324,1441629,4255,257,8301,137101491,135732000,998000,158626878,1
1765014949,1991723756,2344200,273524,211245477,597180,129,211072008,585789,7679297,652906,6066768,1563017,399461,?,180248,?,4833982,67287,5413166,15291,646,25728,519316762,518918000,0,541177727,1
138688300,81761317,332466,49315,5191237,172389,133,5126537,185080,3362548,189123,921267,143064,37123,?,15728,?,388383,5205,436556,1224,5,1858,42465749,42138000,0,63224425,1
94229444,67406137,254117,42310,4611861,125523,132,4353890,110292,2596516,147537,886487,133560,43039,?,13605,?,879433,10035,352029,784,0,1187,27376087,26117000,1004000,48037860,1
205298318,112630482,435589,61791,4135685,134958,128,4115579,137326,3707756,210132,773166,194248,49186,?,22066,?,529344,6989,598271,1783,0,2635,61724219,59510000,2017000,82246786,1
951418706,1103240371,1389440,184771,108166654,863439,128,107962021,906002,7942327,405210,3473287,807628,207374,?,94694,?,4926436,32566,3758635,8046,124,14517,281381807,279852000,999000,303404177,1
