file,L1-dcache-load-misses,L1-dcache-loads,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,page-faults,iTLB-load-misses,iTLB-loads,instructions
2863908.exe,20559455,818524580,642202462,544987,642227884,542511,18114331,40416552,1683733166,662408,799732449,97890,301681,572618,3600676832
2881871.exe,15044156,539191959,500902360,389169,500376002,392016,8220010,28184904,1408419087,135766,539637263,97885,394208,216726,2977418259
3046101.exe,6335426,383777421,292809902,1397649,293159317,1396398,23989,12084544,372202357,11768,373003090,235,3727,1703,1300623027
3095538.exe,27447425,623499635,311169271,395675,311344523,392027,18794272,53862613,1185703253,291119,629963307,98336,381256,711401,2072192113
3147217.exe,20956241,534706432,330848521,449998,331108547,451481,17194811,37232095,1137803270,713409,485002019,97885,298607,368727,2117538847
3153091.exe,6503441,299866470,203564050,105162,201535388,103907,49696,13641161,521337136,15196,301484992,228,3254,1414,1220259030
3305401.exe,12848883,401403049,404303812,141654,404767801,138106,33503,29425127,834621488,21774,404506240,330,5934,2266,1922086946
3372874.exe,27262550,861323756,486355900,452528,486104496,439965,18526236,52376975,1329160005,300238,815288466,98333,329045,638427,2989485227
3384818.exe,16352381,593701235,444071039,548176,444626087,545460,8222626,29242362,1691263146,538328,600528294,195550,604442,1602201,3017684466
3442617.exe,29123505,519505068,351478378,507132,368262095,509557,24464395,47279534,1345713663,753666,554308400,107665,335221,486340,2333087273
3777482.exe,6110615,191603255,400031058,1231265,398873514,1265212,36188,10755840,484646233,13096,192529726,332,3305,2939,1262479050
3840368.exe,27411761,647432783,303966520,375424,304853350,384058,18769879,52581395,1183938732,298436,610814374,98332,144324,672729,2043042313
3841280.exe,24587158,299044349,206026586,65237,205811552,69664,40842,40032444,373584814,11835,306593482,330,3202,1803,1425553514
3914075.exe,31272857,512952514,377986318,586314,377667745,595174,19847360,44080729,1614934040,697902,534901068,107656,325656,343581,2603105649
3975405.exe,12954761,298191951,203568554,79147,199397775,74124,62242,24825547,276648883,8980,282638742,337,1726,824,1028338268
