@relation problema
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'page-faults' real
@attribute 'iTLB-load-misses' real
@attribute 'iTLB-loads' real
@attribute 'instructions' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
314651,69191582,124340622,203830,124386102,214196,82857,4160249,1175622523,30812,68110208,134,7449,3875,1388632083,1
89570,4718866,2035637,12419,2037808,11522,2397,229561,68277967,1699,147443,132,1219,1105,84258522,1
55207,1573356,2688203,50736,2439121,43951,32271,755447,181968129,4872,369863,136,1212,367,110393799,1
87406,6077328,4053237,12555,4043643,11262,3633,219198,59448649,1507,530542,130,1393,1515,73483703,1
137642,8375719,1089829,11941,1096043,10571,3290,203747,54350599,2657,572626,134,1725,2146,59295173,1
40053,2864012,2030679,18769,2020224,19709,6348,356855,95712072,2378,218400,132,606,280,94312737,1
41979,2126385,1883476,27221,1970908,26954,11070,441298,100332365,2637,250197,132,729,292,100843430,1
144722,3639256,2023234,45989,2538347,47600,32490,841962,197466301,6896,1031650,133,1212,572,181304925,1
36948,2743761,3248556,20540,3277099,19728,5323,359938,96878312,2413,224370,134,592,270,64780431,1
63064,3112680,2835350,53134,2567070,48047,41453,955874,190606661,6302,668154,133,2036,1005,135741762,1
39238,2693841,1530251,18238,1518202,16760,4781,342622,88210665,2324,197676,132,610,241,73076086,1
64559,3263834,2922938,60002,2768659,51313,44577,863462,186380229,4822,517746,133,1158,643,134953712,1
390439,11136636,9026271,109562,9030871,111291,426314,2530767,655957792,26656,7747342,4040,7568,15540,120236314,1
231416,10867992,1111454,11259,1093439,10878,2549,192136,52119084,2555,558870,132,1720,2543,49370370,1
97592,3902357,3071292,62500,2721662,54950,51796,908030,187835388,4837,996453,133,1663,1149,137711285,1
181725,4027731,53785923,61644,53776423,73107,32342,1415647,366874822,10913,1212541,130,2648,1012,591178127,1
290847,8102517,111747664,153112,111784085,151503,36955,3138314,984463977,23426,5124444,131,5887,2536,1301202151,1
37847,2254768,2932826,19225,3520997,115019,6752,357330,93419936,2471,204483,129,582,252,154828857,1
97448,3634965,2814660,52335,2572038,46581,28121,811223,185920771,4528,354324,133,1162,578,129734695,1
81414,3336972,2349777,44433,2248102,39734,33510,687771,181646920,4752,357001,133,1092,340,144220515,1
120378,36602612,55618447,59062,55577144,65148,35434,1368099,366890104,10633,34836840,134,3158,949,311956674,1
59247,3052549,2360990,22790,2209110,21597,58189,429348,95138414,2754,320008,129,664,253,94967542,1
408839,4479502,212320260,280197,211677638,264255,96337,4984360,1462819903,36566,2590212,132,9028,2973,2006625666,1
622341,197140802,109393028,2397617,110028179,2422885,322279,2926108,250094131,22456,195423324,908,3706,9176,614059076,2
562613,163745363,141483831,108125,142608136,108488,77725,1322508,253396781,8529,202208377,1004,2868,9732,523785683,2
7637464,117300791,113905836,652717,114066349,661079,1088540,6748935,337722093,103020,141741832,2870,8074,25656,388109160,2
242350,76599263,51449665,1855860,50638312,1834853,32591,1049952,130624075,5263,72643227,524,2319,2768,311237151,2
881271,184230744,135165091,194580,130634494,1024096,161651,2020840,254928436,9426,184672503,908,2413,5480,559836080,2
467163,70400712,70419497,1707210,67785002,1817887,72087,955133,159422985,4704,68378156,523,1914,3230,293801499,2
554320,170619637,141011811,307610,130997645,1102791,37187,1217614,244235012,6699,174085941,522,2284,10375,535475550,2
1019046,164989660,144789226,114995,143513406,116114,128850,1823819,263304915,10740,199573054,1904,3981,16778,526361158,2
629169,166112201,141180093,117624,141020428,112664,90593,1422867,251712657,9518,193206131,1004,4113,12196,530107069,2
549624,79460636,48202857,1836650,48290061,1860960,67646,1439675,134193465,5603,74878667,916,2498,3141,322746705,2
612347,96612820,46964736,1990929,45014077,2096933,120507,1563265,134600537,14344,62945279,1431,3934,9825,294706723,2
1436631,82587469,106960878,927234,105894631,1358513,174284,2238484,253663033,9693,93235809,2333,3888,10013,396148658,2
360160,184817458,167179273,2793142,163836845,2718689,125813,4745598,309280631,14223,212667361,522,3631,17470,597378234,2
807185,170407549,145078523,101177,145752479,164137,66843,1457755,257008085,6355,198146433,959,2339,7427,529924998,2
450366,168193116,145144354,98373,142491232,716416,41639,1180576,251912005,6769,184745164,518,2291,8272,526696783,2
384198,78526680,48254043,1986374,47933782,1945421,66742,1711389,129651805,7398,75965682,915,4126,3106,315584872,2
347368,80077267,47955338,1967326,47690105,1911382,94265,1720283,128280042,5852,76570007,916,2792,3086,325203126,2
456598,58442552,56279728,1500860,51508729,1718191,68130,1093870,133626768,7179,55581426,784,3278,6740,208710223,2
537688,172785105,136947375,420564,127939286,1264630,82218,1289203,242953941,6747,173539250,521,1772,7947,543758260,2
281883,77970612,50610626,2118078,50885469,2075186,123268,1788039,125638959,5033,79266887,913,2492,2305,321215341,2
248157,73617482,47874954,2123610,48488998,2106402,89289,1151921,126266320,5535,76076718,524,2750,6373,310530128,2
