@relation problema
@attribute 'cpu-cycles' real
@attribute 'instructions' real
@attribute 'cache-references' real
@attribute 'cache-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-misses' real
@attribute 'page-faults' real
@attribute 'branch-loads' real
@attribute 'branch-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-stores' real
@attribute 'L1-icache-load-misses' real
@attribute 'LLC-loads' real
@attribute 'LLC-load-misses' real
@attribute 'LLC-stores' real
@attribute 'LLC-store-misses' real
@attribute 'dTLB-loads' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-stores' real
@attribute 'dTLB-store-misses' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
110412701,36253940,1021780,133906,2802608,72246,133,2566157,65768,2697606,122148,376475,335243,25940,1574,13137,1981,203754,2815,127905,256,468,734,28480000,1964000,1
151193484,123164539,1299727,167742,4154974,99545,130,4164841,89877,3358626,169184,196970,353689,21466,1357,16337,2744,284123,3629,173818,357,1633,1790,39733000,1986000,1
88466010,66434088,885463,127314,4627494,100806,135,4621565,94120,3322796,179876,533216,220319,13359,806,9752,1578,157280,2199,101811,202,351,554,22942000,997000,1
52833210,63130313,1519015,251944,4291571,86985,134,3573420,68400,2651512,110302,139104,153053,10483,914,6446,1106,377114,4615,634135,505,1918,1883,14448000,1926000,1
372770445,72483117,1972700,155831,6564233,162018,136,6507039,165267,3730318,243910,496899,857548,54519,4784,51128,8088,2276886,13420,967535,1144,2527,3269,101559000,0,1
1013027537,1385084841,4080952,169688,110650966,222972,128,110677605,222108,61360433,399099,58569811,2316433,152881,12894,111225,18013,58908098,24948,58262541,2389,4425,6782,273779000,999000,1
1226402473,1685584934,4719704,169913,178518329,268854,131,178571744,270096,5839246,488938,1759532,2719168,164040,12764,127840,21517,2178367,29167,1380087,2867,3841,7863,332771000,1002000,1
41978494,37943234,1262647,202900,3003679,66619,134,2433108,52918,2034294,79929,157963,123466,7741,1050,45358,1297,597705,5480,424105,461,1891,2907,10789000,1798000,1
154386722,123077251,1308347,155609,4115224,102522,130,4163697,90845,3414681,181818,280690,347029,23334,1309,17092,2710,274005,3718,176052,433,1586,2072,39420000,1971000,1
366827696,62937580,1876104,148628,6481346,168711,135,6509006,170635,3574859,231884,470253,754149,57431,4641,48533,9691,1223075,10430,620330,933,1729,2777,96593000,2956000,1
90984090,69944699,858637,114346,4531753,126024,137,4585681,134750,3133447,161547,401930,310950,13175,843,11810,1729,252093,2254,137672,209,339,592,24332000,973000,1
63667367,62929716,1283809,196838,4892501,98577,134,4310963,75931,3008937,144584,175784,165171,11911,1318,7211,1173,144079,1757,430745,472,1466,1596,17767000,0,1
155300953,92531487,1324527,155946,4112484,101217,129,4183478,96109,3474828,186597,298786,350872,23645,2257,15355,2672,282479,3723,207034,362,1285,1861,39337000,1966000,1
605544886,932251095,2605389,148224,91428031,157306,132,91447651,157998,6240516,286329,1712710,1388935,91281,8539,69801,10671,3275033,13624,1405819,1377,2004,3990,161051000,2982000,1
192938913,47087083,1259757,136666,4007452,87340,133,3912280,86505,3211580,193975,541637,531410,38584,3737,20371,3396,360985,4603,219051,438,549,1206,50932000,998000,1
1023793202,367890857,4513637,402143,71632790,3833700,1558,71411792,3865062,7946219,613870,3106797,2445807,146989,11590,219458,117401,8915880,30251,4544782,9794,8542,9142,276449000,1001000,1
1317365675,1975714732,5241311,226494,185839843,305997,134,184992755,299002,10193994,502984,6206107,2898548,188994,12134,138970,23089,6736544,31798,5861590,3246,6113,9723,354370000,1996000,1
152536458,94371976,1300160,155438,4088430,99711,134,4090792,96748,3368320,184754,265019,351519,22042,1350,16219,2733,272192,3927,175905,355,1196,1810,40956000,998000,1
163500950,109940898,1448695,263899,4255301,106607,128,4056724,101341,3847597,197132,372867,384683,27232,1482,17230,2858,273548,3936,183449,412,691,1175,43308000,0,1
670971779,947418844,2829770,159973,90547533,175948,134,90602702,181401,4627668,339636,1120000,1498735,98448,6009,69392,11838,1244201,16366,771137,1579,2255,4230,180333000,1001000,1
90685871,69913598,909915,119523,3986225,76543,134,3995672,74997,3077360,165191,423149,307078,14289,907,10228,1721,172358,2386,108209,216,334,647,23590000,1965000,1
31133517,41249453,1405290,195066,4747094,187786,129,4382673,161781,2303888,105796,160403,133362,7780,512,5880,2765,2147863,8400,1202641,833,2768,3366,12493000,1922000,1
177983307,119848691,1189299,127885,3516099,90407,135,3764366,92600,3428419,204270,582839,496478,39067,1725,18319,3171,296604,4384,197370,418,604,1125,48737000,0,1
970229066,1653319037,3976622,203557,131711082,235537,132,129813098,232497,89098442,402344,87167816,2046269,133914,10481,98537,16976,92665634,23148,92079685,2401,3976,7730,262671000,0,1
96546007,106166990,889422,113464,10050619,106723,134,9016498,98466,4797187,168515,2899393,305757,22351,1221,10421,1729,4576416,2329,4521565,220,277,598,26169000,0,1
214493451,51235622,1529092,147002,4614495,156238,129,4661509,154541,3278368,189303,370004,452005,31154,3412,22848,3864,1697627,8950,745520,801,1814,2426,59487000,0,1
77393207,93397687,1285818,179891,6976302,198184,133,7320252,183926,7690100,378176,2147199,467087,29830,3452,9065,1374,1391992,1917,85223,174,341,776,21081000,0,1
666445658,978731749,2865022,145150,100631866,361543,133,100575227,363455,5980968,339811,2495237,1512198,99679,5626,70129,11661,2659771,16670,2218894,1536,2903,4176,180454000,0,1
76382465,94543889,1032283,149162,3956589,88501,129,4280818,86681,3397902,160382,116466,185116,11169,661,9124,1383,161544,1851,93112,179,324,1178,20665000,0,1
370028483,556765330,1876424,145875,47982298,122806,135,46134252,120630,3436221,226769,423945,776566,61159,7075,42966,6475,618468,8857,390307,847,1389,2472,99713000,0,1
25290353,29806731,1623329,212647,4495082,154741,130,4025158,130743,2258176,106684,105325,133613,8780,924,14964,4075,3252921,13872,1928403,1577,6203,6495,12658000,1054000,1
72630789,63966578,1181193,200558,5963013,594817,135,5872073,646759,3308669,156677,92045,169847,11533,1224,8438,1329,123219,1821,85584,177,1476,2044,19043000,1002000,1
997160140,1174824791,3934268,181055,106226843,229491,134,106378876,236519,60252725,430603,57229420,2193739,143320,9135,104087,17530,57355039,23982,56762788,2311,3807,6383,270520000,0,1
154862373,93853496,1313315,162386,4166025,101049,137,4164639,97944,3469078,185272,308181,348823,22682,1680,16991,2726,289076,3841,189955,372,908,1962,40917000,974000,1
56547276,50437585,1300359,200187,4938490,69069,129,4510902,53639,2095172,68405,153499,114810,7397,720,22198,768,357802,9892,1516082,267,3726,4091,12329000,1027000,1
28224449,43076709,1396280,190087,3105727,65952,135,2477983,51160,2025685,94427,99823,110639,9138,1267,53715,?,?,?,?,?,?,?,9437000,2831000,1
81865719,75449432,1009226,146002,3692345,83544,133,3717385,86234,3630420,192762,213629,207007,15487,1772,9010,1492,167212,2064,100138,186,330,507,21817000,0,1
165465809,151949949,1493255,339567,4417936,104190,134,4422770,104128,4569050,270722,238016,381904,23504,1426,18441,2988,296991,4089,189747,389,511,1057,45670000,0,1
89020490,65250923,885187,123283,4328546,73133,135,4321781,73769,3262627,177788,381194,205085,16356,2851,13536,3539,489947,3485,227095,264,552,996,22967000,998000,1
162434506,113973273,1348413,174989,4131427,104439,134,4172386,100307,3876557,194162,243685,367475,24187,1740,16896,2847,303887,3903,189944,368,886,1798,42291000,1006000,1
72787740,48573597,965045,136799,3977556,81573,133,3778673,83468,3591299,169922,181791,203040,13847,1763,9984,1485,215353,2022,116277,180,318,804,21392000,0,1
574407856,115593807,2942835,507279,10822232,171255,4040,11484777,173166,14507122,698803,8306580,1446093,81787,6168,256540,187788,5186425,20118,3816062,16382,13841,6256,150938000,5997000,1
30754543,30179817,1456443,215018,3303053,71548,134,2589869,55294,2184061,109484,138613,120780,7704,457,14974,5381,5911981,19311,3245130,1846,8421,7721,13273000,0,1
164632777,113632057,1261994,143539,3943886,96183,134,4022718,98791,3851467,209532,290507,372372,24920,2282,17365,3003,363613,3942,211891,373,501,1013,42605000,990000,1
309500268,489405867,1844590,189647,45556930,134811,131,45432051,123533,3810101,239953,551173,710338,44804,3178,32855,5464,567348,7377,350143,857,2171,2951,84902000,0,1
837547104,1100286110,3530235,157459,95375994,197402,134,95443837,207937,7788439,384081,2769191,1875713,125317,8928,89052,16573,6227849,22736,3117125,2069,4814,6151,226353000,0,1
76129716,119415419,979460,134556,6317037,91289,131,5370145,84183,3510355,152183,102938,185469,11330,676,8813,1482,161955,2001,126108,186,249,521,19552000,1955000,1
157270248,113421374,1256209,147321,3998389,97733,133,4065187,97614,3467016,164070,334616,392392,26614,3299,17846,2842,278436,3674,177002,365,465,1922,42091000,1002000,1
153484429,121116830,1303705,164141,4119699,101003,133,4111484,103514,3514977,198004,400225,435655,27436,3070,17063,2876,287931,3785,184930,370,810,1874,42036000,0,1
316729997,262974347,1835540,181626,47122645,130599,136,47164366,115676,31360206,229822,28266689,661230,47069,3020,35114,5557,29608417,7807,27933249,927,3685,3628,83304000,1983000,1
78400680,75882149,925552,129147,3686928,78044,129,3692353,79289,3587959,191196,347547,260111,17164,3152,9411,1471,160940,2071,94997,193,299,514,21415000,1019000,1
1218801388,1673643353,4895648,198888,178915199,285709,135,178596936,285425,5865160,464265,1937120,2740319,175315,12209,130027,21287,2186805,29826,1377509,2901,4800,8230,331371000,1996000,1
150107287,115274194,1335578,168169,4227979,99718,129,3930974,88017,3283804,173999,226394,313223,21131,1957,17418,4818,768412,6160,412899,767,2528,2989,40319000,0,1
364999605,62261361,1965240,217273,4295642,124513,135,4184545,121543,3888812,248676,504707,838197,62119,6832,43289,6419,652402,8546,409423,833,1083,2266,97199000,1983000,1
