@relation problema
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-stores' real
@attribute 'L1-icache-load-misses' real
@attribute 'LLC-load-misses' real
@attribute 'LLC-loads' real
@attribute 'LLC-store-misses' real
@attribute 'LLC-stores' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'dTLB-store-misses' real
@attribute 'dTLB-stores' real
@attribute 'page-faults' real
@attribute 'iTLB-load-misses' real
@attribute 'iTLB-loads' real
@attribute 'instructions' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
1373526,398282773,210071828,1924543,44015,245205,62962,203954,279065665,3328987,280062386,3327541,200038,2893196,557861470,19207,414472460,18889,206486857,1906,9978,25771,1176086794,150601401,146225000,4006000,164866607,2
456796,421932645,216825973,1466602,34458,174761,11658,58367,275599633,3710979,267966330,4069895,151464,2566131,525110840,16164,413434418,1378,220393612,518,6089,21627,1254031358,142449594,140136000,2001000,156708650,2
597843,82096230,35337182,1021919,36305,145328,4751,31372,94957455,2727749,95062427,2725713,136442,1339671,238839928,7169,114953271,572,40261122,524,3286,4444,312364662,64161974,60830000,2991000,78520120,2
10218155,179293042,68626729,2690359,1069099,4009435,334391,477734,144604270,4249150,144119940,4104774,7406966,25729638,789445083,881125,196394217,35423,76472642,5020,9721,46778,636224672,213650529,202251000,10959000,228035228,2
865017,418332276,218269016,1677058,38974,192534,69074,124155,275336525,3596409,275081233,3863484,252297,3139320,538422475,18591,407574960,5137,208227845,909,8404,18524,1230676905,145886417,142632000,2992000,160152302,2
1336885,402896777,213532874,1880709,38667,234611,33067,198672,274986196,3468941,276385650,3464589,177499,2896245,549699248,19429,415860712,19263,211645344,1906,10504,27998,1197152518,148346578,144032000,4000000,162594346,2
603501,85320679,36472965,1015216,34916,132473,6785,33089,92233070,3052618,92278671,3046582,110091,1226774,226618003,6387,112731179,652,41108337,524,4211,4690,334669916,61375219,57130000,3940000,75463753,2
646784,421477298,220182800,1595575,37842,194710,34759,102800,276986524,3470530,268377856,4134896,239805,2880789,533738434,19690,405099451,10880,211824814,1006,9313,17160,1255217985,144344642,141024000,3000000,158624289,2
802611,425651487,219058620,1473278,37924,185676,13784,62922,277924426,3401608,277190792,3800410,187787,3042327,544409900,18590,407867121,1654,208971173,911,7767,9101,1236723492,146380438,142020000,4000000,160499234,2
819402,420240005,215903209,1659182,37563,182635,11062,63103,276226773,3430239,271927684,4155402,229532,3178400,533910855,16492,413077685,1629,213979314,910,5241,10723,1256861134,144803598,140454000,4012000,159183404,2
498846,418725170,216669729,1498345,34899,178488,12238,59045,275887132,3799761,267043045,4178976,143461,2584231,525956114,16451,410997415,1360,219331702,518,6336,19782,1253602142,143198272,137879000,4995000,157392776,2
1044631,117971825,45223707,1053024,82340,245616,63228,208348,87984908,3193619,89360373,3197926,289995,2064342,245372536,11488,128012851,25012,51190251,3085,6497,13564,426551658,70467401,63108000,7012000,85019603,2
5652568,139016899,50650666,1827513,400477,2564844,169649,276893,107061437,4160500,111264347,3486831,1885414,11258165,480874664,278947,164588318,23451,62196306,2672,7065,26951,490756776,130163411,125794000,4025000,144695129,2
517930,426040150,222126397,1552014,36273,181398,37146,89844,268650242,4220808,258971535,4532868,127701,2659111,536593963,17177,402243713,3274,214562535,519,7598,17191,1259468457,144973185,142585000,1994000,159349199,2
4857249,232531538,107223336,3083962,479594,2263307,305236,573072,171721531,3214209,171391969,3225669,2270997,12919525,999078104,497250,235822625,31188,108902148,3259,630514,114809,801294529,291456796,225933000,64980000,337152945,3
5124966,523174735,270855375,3380829,246785,2356641,201829,371533,331380171,1927881,319890958,1972466,1588423,13905336,1202001361,473790,482098217,30425,252407257,2668,213553,31122,1555384642,324721847,262308000,62073000,338993698,3
4552704,189815328,71117663,1851021,272999,1960259,209205,334685,125636465,3590064,113195514,3355906,2131049,11253048,457436573,248206,167972177,29796,70531895,3553,12346,26989,619557672,124139714,115793000,7985000,138346560,3
5432392,490441553,255488138,3487504,437714,2690595,203617,386654,330557768,1866936,329931883,1867642,1312144,13263127,1231225154,387707,516340119,29530,265078090,2472,222141,42183,1528150967,331881150,266621000,64907000,346028770,3
8513174,275552022,116802899,3615661,737652,3514192,313311,506918,192447511,4557098,180645593,4671913,5150669,25577993,1203476800,850764,242171865,36400,104735313,4096,217074,229395,887014511,329152054,275592000,53114000,343627231,3
4818131,466465401,242268215,2333446,250322,2252557,180279,308891,279965400,1602808,269355672,1598012,2088490,12962490,698891826,268013,419937915,30694,226228736,2667,9385,38864,1378325845,189416512,183114000,5971000,203854666,3
5116232,150407862,62112556,1567479,432010,2548192,184577,304761,135209654,1049553,134641539,1037170,1114716,9665372,416199132,130341,189928803,26860,77002006,2478,11038,21461,543249784,112346207,102013000,10001000,126628708,3
5396314,506454215,255130838,3723327,461457,2746644,213822,436324,336076753,2078642,335600558,2068066,1492110,13745925,1237743468,383141,530092754,30738,268326708,2865,224255,33359,1555508322,332601937,279228000,53043000,346755741,3
5518756,497986806,257275380,3394777,309648,2472628,207842,397981,331441991,1935772,330492721,1927903,1246999,13087655,1216484549,407281,514125975,30347,259211569,2471,209545,32300,1521029889,328245157,268846000,58966000,342414918,3
5093335,136594442,55526379,1581324,406128,2490310,188319,307382,133014518,1041783,132524868,1029849,1044198,9520624,407010612,124362,183326802,26226,68259381,2478,8752,17753,492774472,110021302,104738000,4987000,124387899,3
5206704,142588788,59004843,1506879,395833,2489639,189952,323519,135229276,1025347,134447834,1019706,1060036,9649088,410001951,134492,188007666,27032,72092043,2480,9833,19706,510340956,110728061,107398000,3011000,125157992,3
5184615,128721746,56116171,1587237,345983,2358312,184789,299962,131068176,1035974,130529202,1024764,1036750,9366663,405111097,147241,169872873,27089,63692331,2479,3677,23811,464301471,108907428,100624000,7970000,123159289,3
4850428,217561929,98752337,2637062,278449,2392995,192613,369000,149760609,1771085,149641038,1719160,2023926,13160044,934131473,392417,220891013,28121,100040905,2478,221910,651299,728308663,252986261,181733000,70895000,267251035,3
5331821,191110286,89098820,1698419,326615,2421351,204813,333366,130621220,1260635,133355673,1275560,2374989,11647583,441047096,163615,202395752,29504,80826772,4438,13981,30889,688749499,118722859,102476000,15918000,132975420,3
4815263,168443303,66606044,1552038,442399,2520330,195010,342413,132387904,1185534,133954363,1154523,1119548,10040293,425750254,132964,194263657,27256,78904903,2480,11726,22567,603204749,114870991,113568000,1005000,129020333,3
5417154,500201440,259351705,3448305,300883,2441605,205145,373878,332301268,1839796,331445161,1838045,1291409,13273883,1211061465,418953,510627005,34220,256967252,2669,219188,38695,1518390407,328029813,263535000,64130000,342421601,3
4966590,153297610,62676318,1520997,433442,2576431,193679,307685,135992953,1041297,135336847,1031172,1052031,9670156,417237949,133866,190606658,27923,79140190,2480,6825,24033,556490467,113315461,110980000,1999000,127630571,3
5506288,499957431,257506399,3406208,317064,2481666,206389,372526,333201229,1835002,332019087,1828802,1230970,13089759,1212834343,412534,514142377,29762,258784508,2473,212546,36063,1527693638,327546277,262042000,65010000,341780282,3
4779518,151404629,62716293,1621283,279439,2383364,180751,295702,128909992,994385,128308599,982720,1008779,9203423,394975796,128691,180491531,25186,74375068,2479,9696,22559,538978987,106389780,101043000,5002000,120659470,3
4837028,219382901,98761281,2607395,353514,2567450,189746,356019,153137273,1757738,152997157,1712009,1618867,12595713,927810581,362918,223300450,21214,99284191,2478,223596,650064,734782445,250581021,190191000,60060000,264980614,3
3661476,125058267,61835463,1722652,775573,1799053,619946,786951,83392514,874833,84779400,919188,4237044,10789123,350804207,487495,128679958,119943,64203670,3958,6909,19751,438390025,118215667,104498000,13062000,164024570,4
3216689,315764858,169698025,1940240,692311,1675838,156783,263379,231613063,846643,229654667,877142,2776324,9782552,528254775,325974,345789333,28625,181969224,2921,7458,26357,976829717,142531334,132115000,9933000,156813498,4
5141172,151405044,78708858,1830904,1033151,2082362,1038618,1066599,157622019,878201,144353598,875031,6709163,14424415,469596452,670479,151644357,289986,80932480,6692,9260,21356,524968140,126529114,113282000,12918000,140691485,4
4106900,113794546,53956008,1287329,859514,2185857,187673,283349,90183135,1166014,89734944,1172156,3603190,9735228,337750240,546773,122384927,33370,59832452,2923,4902,14310,401713038,91219190,85905000,4994000,105344431,4
4325997,124389515,58898415,1460757,832827,2093724,165847,265324,92423667,1001178,96186708,974847,4882052,13274760,375285322,486786,138138335,34798,66468380,2987,5736,15591,460361889,101741024,96451000,4971000,116197132,4
5040443,126178670,60582870,1626769,1007923,2191106,525028,1019187,84228998,1424538,83803822,1434469,5914150,13530137,403120803,777756,127029101,112610,62997426,3960,5182,16395,449972233,108707335,98393000,9938000,123087513,4
5203143,114773169,52450893,1638209,977534,3104919,232155,268725,100245100,955455,98361006,1000989,4519722,13940024,361189242,574901,132269884,35221,63439605,3147,5629,13730,428352610,97459804,94128000,3004000,111965245,4
6193719,131893978,63131869,1968431,1071033,2726213,533341,1493468,85978179,1366018,85810640,1371118,7149645,17457333,416909426,1157565,121276694,121069,60225579,4789,6972,27158,454785367,112651220,102401000,9941000,126988781,4
3682973,319473779,170413644,1831410,742452,1928844,160835,272439,231115403,813550,230409937,834717,2931726,9808920,527748660,319311,346138830,32582,182727296,3308,8276,35527,980164908,142595005,135255000,7013000,156974709,4
7651292,155363748,80903109,2361199,1758384,3968838,423596,489777,108611737,1379145,112015060,1434633,9465215,22562397,684894286,1005266,151538283,120735,78529486,5606,10807,33683,540860100,184384468,176071000,8003000,198888597,4
4525845,138919061,68310278,1631404,792508,1977488,505441,851549,72777369,1199929,79825240,1222541,4121245,10844755,398514746,569272,131224556,31461,67454998,4547,4717,16916,490764065,107993338,101449000,6026000,122432184,4
5465773,323865868,170410000,2100780,1098541,2583373,182841,307461,223544789,1487920,227005477,1534120,4153324,11612259,596896908,520759,364623151,38998,189540388,3282,12384,24200,1024332890,161666424,154390000,6972000,176096752,4
3126583,113268759,55199188,1286116,627636,1549086,174077,260654,81677672,1028712,83882671,895182,3106374,9110758,304849554,295682,128874823,36055,64003645,2924,6275,13937,422555712,82111967,75690000,6055000,96590152,4
3479926,152547970,81355077,1460415,543548,1385710,177583,268814,122705427,1128810,121538398,1128286,3038081,9017826,398178655,364153,156239885,35260,80173512,2925,6486,19551,562205967,105646007,101239000,4009000,120129455,4
5510902,131710351,64009699,1643648,1132351,2484588,963149,1285405,77654106,1292337,78923539,1300818,6817014,14792426,402478459,891739,122858934,127170,62778082,3957,6669,16512,460471578,108716025,102334000,6019000,122977884,4
3611324,133190696,67907670,1506805,687712,1785730,250968,525373,99016340,942065,101679948,920520,4352248,12377553,374845843,401615,140849829,64610,71578260,3707,6103,15624,488151532,102237982,94929000,6994000,116456742,4
3689678,343945353,179678273,2366218,971667,2162712,181339,294028,221369958,1372326,223012536,1375691,4949044,13330929,610021806,531707,357504609,40276,193581141,3171,16081,27748,1066377429,167502043,162061000,5001000,181955570,4
4713889,128053146,62057780,1669722,924236,2080796,457270,1146624,80889308,1309875,81344710,1252710,5585461,13790583,395904318,675545,124632357,86428,62554716,3566,7278,16468,450014705,106864123,99557000,6969000,121127449,4
6902555,171125766,91982642,2594249,1433546,3181549,563019,516225,115297530,1479516,123119072,1480781,7701401,19706482,670794618,868450,173119199,147506,90053987,7070,12049,32740,607222865,181044315,162739000,17971000,195552631,4
4665659,121592307,60112453,1605627,978136,2115851,392761,1209595,83729172,1309508,86389444,1210322,5499278,13688424,395747402,642623,129966247,87460,63935163,3956,8116,22602,451306556,106555874,97336000,8939000,120863570,4
8526861,155671083,75046651,2457320,1813040,3465954,1064276,2098629,135993146,776964,132666289,768203,7151438,16548058,640210466,881351,182968362,63604,94052585,8145,91115,40099,586047282,177537219,161976000,14997000,222397368,5
9242957,192908645,102267738,2991127,2074405,4168497,1478069,2187349,124332383,1128311,136793885,986611,11205549,23243534,705836932,1043645,234841992,346219,127661746,13619,18418,99510,773405046,190248010,169801000,19976000,204716037,5
6617058,220241064,121068865,3113829,1159447,2472645,1091238,2581905,130731633,765360,125422824,758211,8340109,19682668,612499228,946214,165997555,98057,99039113,10684,98086,56797,740524233,165517316,143082000,22012000,179900327,5
6351202,141652961,64149773,1908379,1230415,3286266,160228,234085,137714180,760664,137160264,759995,5070938,14207044,567770720,814237,188711720,12274,87250698,3654,6362,14318,557264682,153549104,147174000,5966000,167698030,5
9172086,381672532,200961789,3416068,1938419,4115331,1515874,1945446,267657310,1252970,267303115,1540154,9677500,22174207,912628868,1007278,422030761,152268,231078845,8333,128362,47625,1243831031,246618419,230299000,16020000,260869902,5
17037922,388667648,216193293,4491041,3374935,5173107,1127603,1938725,313843487,1175539,308860787,1167915,15464070,31938737,1270950629,1379400,400486240,293108,197848454,11211,674620,74376,1168010571,342929219,319540000,23038000,357162142,5
9583249,151828017,71719090,2493970,1853291,3523496,1249372,1577421,136030781,853101,137240363,823642,9965796,18383043,658274175,987641,194949199,386190,94796293,7948,102935,29355,593588505,177304173,162939000,13994000,191674172,5
8832568,377029480,208608915,3229711,1888512,4918734,393406,1786941,250595459,1607165,248595780,1735979,10163830,25814114,933548377,1098525,400823917,36811,222435246,5693,24172,51082,1224904187,252184815,240562000,11025000,266501347,5
5812611,167706260,91572283,2401169,1044613,2184175,558337,758020,116156018,719312,115251535,928045,7676037,20316114,537666842,863052,145917158,176236,73696188,7750,125210,31966,571389603,145482871,133109000,12009000,159914680,5
7852240,138207002,70180030,2150203,1488609,3045581,564880,1489525,133348459,798763,134345610,790769,8233697,19742857,633583653,1056613,163200372,270469,72164029,4825,12783,10761,492947641,172168353,164738000,7031000,186497150,5
8073525,143932962,71299138,1998902,1602389,3281362,569362,924231,132381498,811843,131889969,817169,8344206,19572009,637794306,1134558,159685028,191247,70969112,4435,9153,18977,498642031,172340277,162945000,8997000,186682157,5
12698024,298786412,167926450,3054404,2217531,6085544,523247,538534,220234836,1745629,206183731,1776838,12391596,39288724,1100563128,1364419,275446657,142556,154556342,8463,19415,64939,1021781975,297046656,285564000,11021000,311455123,5
5993764,214571389,113460530,2868137,1207482,2659203,711245,1587986,122319939,750547,114569444,898343,8064562,17445453,598329350,892106,180357983,429189,107903677,10487,52399,63897,803253776,161765687,148510000,12957000,176364743,5
7633357,323019906,173957239,4459817,1352217,2612436,1149559,1525327,225679349,1810931,218386295,1877346,10785129,27890276,1673219116,1486386,301471335,149026,152565154,7847,1442651,1294262,1104217293,454403709,325969000,127988000,468863775,5
5797686,383310359,211389064,3264022,1098444,2759966,405431,1096013,245393559,1167286,246516646,1307908,9590300,22640973,780192987,735441,392178475,66262,215790527,7358,51387,64636,1250869001,210699439,193422000,17037000,225142043,5
6844114,168392874,90620697,2198960,1221731,2390866,846680,1515280,111467936,1299022,109100119,1304216,10140656,21927665,620355891,952221,144641551,164503,72101041,5779,44178,33506,559937828,167156857,157777000,9044000,181304724,5
9345212,155878670,73035944,2941906,1827542,3471703,837277,1671729,144813794,790111,144117195,788182,7067241,17041050,655016719,890538,200641323,66643,94948753,8148,113478,32931,596130875,176879837,160577000,15957000,191263146,5
7749143,164905591,88295005,2408566,1384555,2773001,562711,1149657,123746234,789484,119433805,1136572,9092752,22027736,631195217,912466,151747613,53094,71806778,6582,163909,34452,560059772,168304693,151980000,15997000,182817340,5
10909511,153678637,77083875,2754857,2371047,4779298,2343723,3340159,119022665,799689,124773818,807507,12462393,23982463,734201428,1392758,189717198,460463,94812339,8146,84248,42859,584748130,198642468,176402000,21925000,212980491,5
8760614,148169847,78375091,2733143,1489715,2793914,751962,1900014,140034541,770167,137964229,978639,8741712,19811024,639431717,914508,164701394,61733,75155520,7363,139428,40315,516004496,172163350,157696000,13973000,186548546,5
5380761,232330594,120965573,1685537,72616,1828432,439333,665941,127719274,5835661,139203367,5495073,1312575,13556091,459291725,29105,239907061,50861,127240278,4947,12103,42278,761086453,125501916,110714000,14090000,172207818,6
10181341,189123145,90866428,1427837,65590,4421633,110418,64963,149434779,2588833,148247997,2749858,703707,20070044,393348413,16703,194542263,9882,87076400,1696,5410,4386,564550244,105924040,103588000,2011000,120356301,6
23687987,252070958,100848867,4291455,2930702,12172845,394555,632592,217352414,9931596,211000520,10057272,16341088,53472007,1614065007,2613456,254110938,60120,98432273,6189,21173,58423,845749750,435232444,424897000,9997000,449468030,6
7875105,671053995,361264136,2687455,69077,5572163,115775,251551,387014180,5195430,385688519,4951526,749990,26509315,853165102,32642,658970596,9991,361868071,1692,9121,31346,1941942145,231111640,225692000,4993000,245582070,6
9749387,153991119,66648226,1348646,72743,6892650,99720,150978,123019591,2280284,130467834,2401579,483456,26794000,353464116,14497,169127183,6357,63337425,1306,4702,8246,514852297,96285979,90946000,4997000,110616776,6
