@relation problema
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'instructions' real
@attribute 'page-faults' real
@attribute 'power/energy-pkg/' real
@attribute 'power/energy-ram/' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
4821019,112631,13137285,210385,12705167,138282,98662,846776,115095297,4490,4030058,392,764,119686555,134,0.34,0.02,30629631,30420000,0,44620069,1
3633863,294094,118868475,512598,118772708,523329,132685,3110516,799695157,22210,3706223,4082,6264,1161221480,132,2.02,0.11,216948363,215818000,999000,230914571,1
544316,80595,3230802,63006,3236746,59835,92551,663598,88535054,3407,215066,665,1112,97133909,129,0.26,0.01,24098574,22855000,993000,38310407,1
349958,64257,4426730,103362,4312663,112300,93268,653109,55622504,3684,306656,211,421,64941181,128,0.16,0.01,15953566,15650000,0,29973833,1
1496072,146913,5838215,709344,5723827,733542,87114,638904,87521542,3219,584234,736,1079,69585123,132,0.25,0.01,23573557,23319000,0,37686371,1
1633838,204626,5302253,94684,5238703,94261,106104,1580765,338055582,9587,1060050,1583,3087,236987839,135,0.97,0.05,91324994,90132000,1001000,105232176,1
67991815,388593,124534915,245140,124589412,238339,137492,4349645,1175880634,30686,68073891,5309,8417,1386624067,135,2.97,0.16,317537474,316444000,998000,331503530,1
1415690,142953,3195433,49887,3035639,45081,80978,669646,67316015,3158,610296,728,1064,81442209,133,0.15,0.01,19840846,18640000,981000,34144262,1
903321,163786,3565656,73713,3385572,71526,105678,1029182,181702408,6216,728682,1105,1658,110201307,137,0.48,0.03,49651806,46435000,2963000,63769494,1
1212723,117766,4726699,50344,4730291,51380,95741,651917,57920235,2578,252323,197,386,74899082,127,0.15,0.01,16057335,14934000,933000,30026820,1
1201342,124851,2399483,51339,2397309,52122,98628,639368,54029962,1423,105052,164,368,60486413,133,0.16,0.01,14351203,13118000,1009000,28539451,1
1344086,143035,3387951,61716,3370501,61590,91520,690440,94965654,2726,293273,732,1143,92187209,132,0.28,0.01,25499928,24255000,1010000,39697113,1
609876,114006,3375873,63051,3377673,62823,99908,822016,98137021,3072,266667,339,783,97490942,132,0.29,0.01,26631821,26374000,0,40725078,1
1251471,162533,3497415,79591,3500297,83394,119275,1240878,199274514,6294,468984,871,1822,181420312,134,0.51,0.03,56661421,55376000,1006000,70871380,1
1131981,139310,4300865,62707,4424240,62466,107129,718392,97247198,2705,315247,316,1120,68436239,132,0.27,0.01,25974519,24741000,989000,40187913,1
701085,105139,3570232,77265,3539975,70181,95044,1012209,186793924,6375,644391,1045,1699,135248523,133,0.53,0.03,51084409,49888000,997000,65087943,1
1171452,147552,3265641,63449,3259526,55134,84382,649886,88154137,2362,508277,737,1091,80264527,133,0.23,0.01,24016952,22778000,990000,38242795,1
871467,155464,3512272,75126,3307517,69466,105254,1008524,189820591,6273,794123,1127,2032,135776924,132,0.48,0.03,51064061,49836000,996000,64879746,1
9741776,581333,9883126,162195,9949039,166133,537066,3116650,659426655,28533,8399141,19417,8466,132005112,4041,1.79,0.1,180868868,173720000,6988000,194928024,1
