@relation problema-weka.filters.unsupervised.attribute.Remove-R3-8

@attribute pkg numeric
@attribute cores numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
1.08,0.85,29
2.62,2.08,29
1.02,0.8,29
0.94,0.73,29
1.1,0.87,29
0.62,0.47,29
0.61,0.47,29
1.17,0.93,29
1.14,0.91,29
0.94,0.73,29
12.14,9.89,30
3.12,2.51,30
3.88,3.12,30
2.93,2.36,30
2.51,2.02,30
6.47,5.24,30
3.92,3.16,30
5.72,4.67,30
2.86,2.31,30
5.34,4.29,30
4.99,4.05,30
10.32,8.44,30
4.67,3.65,30
4.37,3.54,30
2.87,2.32,30
4.41,3.58,30
3.84,3.1,30
3.04,2.45,30
8.26,6.71,30
3.26,2.61,30
3.28,2.65,31
1.87,1.47,31
4.47,3.65,31
4.09,3.31,31
3.41,2.74,31
3.28,2.66,31
5.91,4.81,31
0.4,0.31,31
2.02,1.6,31
3.35,2.72,31
3.43,2.74,31
3.62,2.94,31
3.35,2.71,31
3.53,2.86,31
3.69,3,31
3.41,2.76,31
3.44,2.77,31
3.34,2.71,31
0.31,0.23,31
0.35,0.28,31
