file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-cores/,duration_time,user_time,system_time,perf_time
7162730.exe,113394567,664508,79259187,1635322,79230770,1632909,118585,584966,187519946,33824,119062878,5,8272,373288395,1041,1.38,1.15,55626601,52395000,3022000,77248235
7663493.exe,424730296,791644,264588330,2156951,263693527,2076967,150699,1057148,595572102,56217,426572290,120,17944,1233820316,1033,4.29,3.57,179064532,174666000,4015000,200519269
766743.exe,427643563,1186845,270984944,2061856,272012189,1842238,210081,1081632,617285583,67643,430522708,1,14177,1283647353,909,4.53,3.79,180802924,177500000,3008000,201161896
7856160.exe,316517874,17453217,240197331,12032105,236328110,12120080,2823331,12542311,990221441,1495929,308474733,92262,144236,1128777069,11164,7.14,5.88,294323408,274930000,18995000,315639836
7891135.exe,425787474,621261,265274876,2119051,262952809,2148892,166622,974613,593357434,59271,423705033,135,14134,1234645301,519,4.36,3.62,179241540,175932000,2998000,200710675
793821.exe,127696689,655639,89329806,1642003,85711547,1762108,144400,841165,202516567,54192,120737860,183,7557,435847643,914,1.45,1.19,63105145,57758000,4894000,83790781
798360.exe,452292079,5682201,301286342,3239148,299772295,3226791,1220379,4828040,923536358,1704202,451122680,1414,37256,1386716156,3253,6.6,5.48,271023136,260734000,10028000,292506239
8028891.exe,114905616,1034451,79630963,1496650,78612022,1498148,207457,704721,188726650,45482,112337502,150,9723,369638088,1695,1.35,1.11,58760337,51535000,6937000,79761848
849073.exe,114121251,502151,79780094,1615714,78305919,1602406,116215,526665,185363931,39146,115726836,5,4828,380826383,524,1.31,1.07,57668579,55277000,2010000,79110865
8519892.exe,122298253,479772,84765990,1736951,82121895,1718037,115515,544984,193378817,44182,119082290,94,5501,426580430,523,1.36,1.12,60017076,56675000,3036000,80743243
856959.exe,127632450,622038,88225551,1770625,87166076,1768687,114863,589798,202223331,41724,132042781,68,9230,427620967,1040,1.49,1.24,60125163,57912000,1996000,81409611
908301.exe,437124166,699367,272950060,1859258,272412357,2024911,209328,1073842,608302028,51135,434550842,101,13628,1272061291,520,4.44,3.73,177739634,172348000,5010000,198754523
