@relation problema
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'instructions' real
@attribute 'page-faults' real
@attribute 'power/energy-pkg/' real
@attribute 'power/energy-cores/' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
128950191,4920346,89496165,717501,89945369,714494,1593724,4161881,457315781,1793257,129956993,1579,21356,456891564,2880,3.06,2.51,132962449,124623000,7975000,153398840,4
127968550,6317313,90601771,989296,89060566,909027,2248960,4831906,464585800,2060392,125932891,36,182178,441014210,6116,3.13,2.54,141101915,114890000,25975000,161500801,4
214279687,8343604,155370373,1698906,154872888,1768500,3104577,6613205,759099798,2403434,211157725,433,222861,796293757,12768,5.1,4.16,224303799,183586000,39910000,273602581,5
398918318,7897990,253603847,1404034,249044214,1334930,3066278,7196423,932133098,2540153,385155262,72,320520,1239875547,7647,6.29,5.16,277320907,257847000,18988000,298948563,5
172767750,9783549,123457808,1474418,125224954,1552997,3847481,7636398,795442003,3440965,174580637,76,417521,625428805,12637,5.22,4.24,235385775,211975000,22997000,254972193,5
443988303,8130438,288798097,1673935,285769675,1915000,3325878,7392196,1071833002,2416020,454713303,553,406519,1468520399,12762,7.27,5.96,319713432,289190000,30019000,340396916,5
388695186,8295906,248852440,1649260,247603811,1470160,3180435,6626494,957383343,2928545,379911196,136,460987,1187060866,7205,6.6,5.43,281710411,263366000,18025000,302953909,5
168778716,7929108,119843471,1349059,119051043,1469987,3131296,6580698,725923654,2499117,164532087,158,595708,605339245,8144,4.75,3.84,216502263,195162000,21017000,238787249,5
173155786,8236509,121567167,1572359,119905581,1482172,3181462,6355489,718898907,2540183,167667179,123,567923,605192975,7364,4.67,3.75,221399249,204045000,17003000,243902271,5
164133681,7317446,112219657,1652407,110439562,1677329,2826926,6070239,686957387,2608593,160770842,321,225503,560866821,4952,4.55,3.69,206842765,194510000,12031000,227244702,5
387513680,7477735,243055022,1509216,242478600,1396842,2807710,6457602,914347058,2137026,394735241,655,280260,1218683493,6502,6.22,5.1,271806015,255447000,16028000,293372421,5
215253564,8633412,157758396,1218292,157241322,1395854,3225549,6994265,779236325,2374521,215569117,1148,626017,811547329,14529,5.2,4.23,232087751,201803000,29970000,252679920,5
161567301,7705991,114563680,1380121,115063710,1189874,2629175,5876121,610834092,2306301,163098280,426,446219,570590439,6820,4.03,3.29,178351141,162979000,14998000,199393762,5
162610950,7165015,114048689,1233719,113735950,1302058,2722309,5968514,606021792,2300728,162588200,400,377856,585165661,6427,4.01,3.25,180575385,166349000,13945000,201325834,5
394998287,7788449,246746656,1319414,243217338,1223214,3079140,6518208,950065487,2719303,386969885,377,491298,1224813396,7205,6.61,5.45,278162825,264796000,12941000,299480202,5
162199447,7453412,111016404,1483623,111025734,1318534,2637838,5764794,661195190,2458567,162596407,79,166082,570668516,4736,4.43,3.62,194265779,186023000,8001000,214884264,5
200019271,10045533,140750646,1413522,140627530,1253696,4018202,7676063,799260241,3437045,192721508,767,337648,718204074,12589,5.33,4.33,237400665,209053000,28007000,258675736,5
220312576,12153874,167722071,1422823,169464588,1388472,4888776,9048198,927819843,3703065,218553584,14469,147882,819215802,13239,6.17,5.01,275275518,244729000,30089000,296292201,5
240973006,8769469,176691360,1253231,172300562,1296895,3514503,6917098,835231925,2725049,240452194,8631,231522,875656543,15451,5.62,4.58,249460754,206126000,43026000,270592056,5
191187976,8718769,137161981,1291722,137008339,1469528,3722155,7293604,751493844,2802728,194667260,1124,151597,713230552,11210,5.0,4.06,223618218,194380000,28907000,244451162,5
184385205,7661391,131509935,1261089,131571629,1365349,3255278,6720384,686679962,2360255,186670880,1032,52372,667485248,9356,4.64,3.79,200131600,183738000,15977000,221378917,5
167594096,5899136,112432858,940112,108208814,913274,2002108,5011123,607688610,2480387,168525272,87,31945,586009887,3654,4.08,3.32,182629154,175094000,7003000,203218206,5
766849783,2656448,450276630,4194005,447770237,4299599,506325,2270019,1150449189,226670,753574840,170,44081,2291578464,3253,8.29,6.92,341101757,329469000,11015000,388935664,6
646623393,907382,404932606,3267806,401664244,3132581,299888,1593170,901195950,117473,642713687,209,25273,1901373984,1559,6.3,5.24,268544651,265235000,3002000,288543015,6
207430047,2167229,127152226,1860719,125050656,1706197,222411,889593,308452640,90413,201491071,65,15842,621224729,1697,2.19,1.81,94704505,86345000,8032000,115582115,6
281434154,19759964,210880422,9917919,210917029,9938349,4986018,14834822,1370346438,6633680,277929559,11322,95002,936932800,9843,8.9,7.22,407880581,384495000,23029000,429769349,6
329883382,18888881,236408504,11399716,233559520,11448201,4877695,14067437,1378501607,7543182,325957521,1078,89445,1054992559,9821,9.05,7.38,406238144,383958000,21997000,426567681,6
688702261,9533834,469526291,3041354,469564460,2806548,490105,2176485,1179670253,2356173,693245144,27,50064,2146562437,3837,8.25,6.85,349402602,337969000,10998000,370757981,6
657514337,3302886,419773045,5614047,422116131,5798152,382162,1994325,1035374825,189818,664194159,506,42247,1961098948,4279,7.25,6.03,301911869,292622000,9019000,322112878,6
238191918,8099515,167127165,3054616,167703003,2990397,1724973,4969856,608501707,1919920,249214134,314,240736,828742852,8068,4.17,3.42,180929057,165714000,14884000,201261941,6
380283332,7387718,247154925,7450461,250934798,7268606,3096773,6513323,1011723405,980516,384906777,313,450839,1373955361,41427,7.04,5.82,299858163,229351000,70107000,321629093,6
230876234,9756189,192897245,2257372,190034161,2478133,376955,1342406,560275478,2319979,228961758,333,29796,862781372,3844,3.87,3.2,165382576,155071000,10004000,185857217,6
688851323,9676747,468581605,3294572,468346076,3294180,524399,2177864,1164847568,2354818,696990682,159,42147,2144763174,3841,8.1,6.74,342365412,327939000,13997000,364016632,6
203731056,9562774,154626065,7712960,150781301,7394542,1619150,7155590,663044250,1762294,208779725,138,59186,746217556,7617,4.49,3.68,197000767,178681000,17967000,217812331,6
211915876,10263242,173729725,2972415,172568854,2854286,551473,1656669,580744074,2537406,212785440,92956,96716,719932734,4430,3.98,3.29,171532258,158210000,13017000,192043006,6
143651645,1129522,156369371,3194266,150525726,3018047,374111,1623096,340766265,149597,135709340,230,15304,654826898,1890,2.35,1.93,103957604,100682000,2990000,124079381,6
223117495,2516313,144836103,4021636,139665976,4461221,418877,1274725,413359241,139883,221251268,105,33039,701969185,4945,2.95,2.44,124873453,114517000,10045000,146340737,6
631118328,909681,398803648,2961761,397753911,2961469,285848,1538203,906414428,88520,628778463,127,18486,1869907508,1106,6.49,5.42,266122793,262825000,3009000,287058842,6
721359593,27793614,457997298,2605781,457212830,2645270,542184,2792668,1328293167,3145107,718858632,495,46414,2126804960,4579,9.15,7.6,389627909,373211000,16009000,410527452,6
179927911,2096845,132245929,2813100,125416604,2772494,446656,1276859,332236864,152132,182753374,9,22900,633341636,4795,2.33,1.92,101226305,81797000,18953000,122947097,6
317661849,39320002,242303295,7313420,241068431,7260386,1986940,6332641,1196754251,6711527,319767731,20263,72162,1032709897,8553,8.09,6.65,354401887,332075000,22004000,375902393,6
658286329,6588130,415712835,3669880,418011815,3641470,1434652,5451478,1230986075,1664366,662826541,30825,57867,1961630966,4425,8.49,7.03,363990281,350594000,13022000,384920492,6
302681617,6525579,201514565,196474,201606274,197180,105496,1127647,497267200,24574,303804335,204,8592,1420628491,233,3.42,2.85,146447162,144898000,999000,195269906,7
678571792,28779608,310570380,659227,310463617,652069,5506756,13954698,1313959461,1836507,673860153,120,461062,2181010289,98338,9.44,7.8,388087666,225695000,161781000,409058819,7
673020993,29410420,310012919,651193,311830728,643896,5482934,14205009,1280931624,2298798,682817849,179,464676,2281858159,98331,9.35,7.73,378996755,213751000,164808000,400626097,7
371712143,6263371,213752124,323498,215970582,326826,101206,1109288,500676156,22793,373569527,64,7812,1454602352,240,3.61,3.02,147563125,145378000,2005000,168347042,7
451075334,17782632,302546535,544496,302477828,534472,5301296,8190203,1085879378,2219703,447173477,301,457873,2003883795,97894,7.67,6.37,322743831,177205000,145168000,344569383,7
677378077,28735280,310788862,659834,311465249,649608,5577212,14108452,1318934312,2219483,675061792,289,509972,2178775163,98331,9.52,7.87,387692875,213947000,173148000,409523690,7
767363553,27614729,444931132,872865,446848845,873200,6549437,15114244,1934102974,2476303,772185562,307,362706,3163866001,97889,13.88,11.43,568825396,347259000,221165000,590120880,7
205684024,6498455,101192259,163194,100985430,163350,84556,885057,325039180,24920,205862794,2,4342,931410071,324,2.3,1.91,98419355,97146000,1001000,120301034,7
621006723,27922634,563626391,839856,558591241,836720,6274304,15038962,1826763613,2320037,619504725,69,534375,3051715627,97886,13.11,10.77,537704666,317037000,220330000,560009627,7
305418316,6509814,201690340,179072,200663506,183363,96500,1036290,425668057,25380,303598918,159,5856,1227573105,231,2.98,2.46,129410679,127098000,2001000,151310887,7
513899696,21712968,354102327,690248,355361248,682410,5634633,10011735,1313179982,2504852,514749024,337,455506,2256072355,97891,9.48,7.83,387086139,172317000,214395000,408613469,7
511938408,27417267,359821620,803346,361763822,808970,6332435,15138503,1646170371,2265420,515774675,336,408712,2499425684,97889,11.99,9.88,479242355,269971000,208977000,500596408,7
355841070,49715285,215288356,253158,214368660,252456,155343,26195444,604433998,42772,355626599,97,8800,1280826475,528,4.54,3.82,181843658,179387000,1993000,203782664,7
505237897,25447261,201362035,232323,201139091,235562,162348,2777614,571923000,44523,510795474,176,8258,1629395102,724,4.31,3.64,167917473,164628000,3011000,189616833,7
812447895,21572739,653903973,783389,658326484,780381,5782120,9774878,1613399160,2368015,814955897,779,443834,3551678342,97920,11.55,9.56,473236085,250928000,221937000,495415229,7
674886657,29713236,312183052,666377,312210682,673847,5571842,14381260,1303328361,2352349,676936459,520,518560,2281068560,99217,9.58,7.94,379512950,204927000,173938000,400719473,7
674023435,29279440,309692641,662095,310111888,667156,5564876,14290576,1324539333,2370703,676924146,319,459730,2178915115,98336,9.83,8.14,392073137,219698000,171764000,413267655,7
204616054,6447780,100600065,148355,100587036,147705,78925,829122,323490389,29023,205179521,154,5585,923316021,326,2.34,1.96,95146868,93823000,998000,116079796,7
680727384,28920429,310344603,666031,309986831,669192,5542716,14339537,1324398618,2403067,681122614,356,630291,2198666733,98332,9.79,8.1,393010529,224617000,167714000,414915823,7
818385110,21239124,661199081,775651,658680876,781944,5694426,9907634,1602996279,3089806,809597257,168,387113,3581578256,97889,11.74,9.75,469170628,258851000,209879000,489433006,7
