@relation problema-weka.filters.unsupervised.attribute.Remove-R3-5

@attribute pkg numeric
@attribute cores numeric
@attribute duration_time numeric
@attribute user_time numeric
@attribute system_time numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
0.32,0.24,19234000,15194000,4051000,9
0.31,0.23,19329949,17401000,1933000,9
1.09,0.86,55956981,51071000,4910000,9
0.28,0.21,18675957,15714000,2946000,9
0.41,0.3,27625421,23633000,3938000,9
0.12,0.09,7035268,6028000,1004000,9
1.76,1.36,94853749,81303000,13211000,10
2.51,2.01,125652245,119565000,5978000,10
3.48,2.8,167137666,160134000,7005000,10
2.17,1.72,107374733,95421000,11927000,10
1.87,1.47,95503480,78597000,16913000,10
3.37,2.72,159193857,150181000,9010000,10
3.13,2.47,156238098,142193000,14019000,10
2.47,1.99,119315477,117287000,2004000,10
2.56,2.06,124052680,119145000,4964000,10
3.47,2.78,167643823,156609000,11042000,10
4.7,3.76,229570559,217558000,11975000,10
4.27,3.35,219719173,207714000,11983000,10
1.15,0.91,59712558,51897000,7833000,10
3.46,2.78,166417236,157263000,9015000,10
3.37,2.67,168901052,152890000,15988000,10
2.59,2.08,125527644,119318000,6016000,10
2.63,2.15,120285840,116230000,4007000,10
1.11,0.87,59123977,51091000,8014000,10
1.14,0.89,61223134,54191000,7024000,10
1.97,1.54,104016542,93757000,10081000,10
1.42,1.13,73842066,71487000,2013000,11
1.32,1.07,63927494,62876000,998000,11
1.66,1.43,57226259,55123000,1968000,11
1.2,0.94,64130280,62149000,2004000,11
1.25,1.01,58959729,57885000,998000,11
1.18,0.93,63012260,61078000,2002000,11
1.22,0.98,60606864,59624000,1010000,11
1.12,0.88,59213669,57214000,2007000,11
1.22,0.97,61482035,60533000,992000,11
1.26,1,65816363,63816000,2025000,11
2.09,1.68,98249570,96252000,2005000,11
8.6,7.01,395303866,392304000,3002000,11
1.17,0.94,59696450,57711000,1990000,11
1.2,0.96,60632283,60670000,0,11
2.32,1.86,113883384,111882000,1997000,11
16.6,13.63,739812588,738777000,999000,11
1.2,0.95,63175628,58267000,4937000,11
1.23,0.99,60513646,58548000,1984000,11
1.58,1.29,72416104,72382000,0,11
1.19,0.93,62955181,62021000,1000000,11
5.33,4.27,266273569,257988000,7999000,12
2.67,2.17,123852607,121737000,2012000,12
2.64,2.13,126353399,123311000,3007000,12
6.62,5.38,304917587,286801000,18050000,12
2.59,2.09,124765980,121786000,2994000,12
2.72,2.19,132479735,127526000,4981000,12
0.75,0.58,42806106,39738000,3056000,12
0.76,0.59,42339034,39327000,3025000,12
4.71,3.79,228271978,218207000,10009000,12
5,4.01,243271709,232251000,11011000,12
0.73,0.56,41388227,39420000,2021000,12
2.8,2.26,135721299,128665000,7036000,12
0.9,0.71,48532690,44561000,3961000,12
2.85,2.25,145250620,137218000,8012000,12
2.88,2.36,129850969,126852000,2996000,12
2.48,1.96,128973977,121958000,6997000,12
2.94,2.33,148836055,142785000,6033000,12
0.94,0.75,46564019,43444000,3030000,12
3.33,2.63,171933037,162939000,9052000,12
5.26,4.23,252511857,243441000,9016000,12
0.24,0.17,16392264,15126000,1008000,13
0.62,0.48,34717855,32741000,1984000,13
0.7,0.54,38299675,37303000,1008000,13
0.27,0.2,15937316,14005000,2000000,13
0.7,0.55,37309820,34199000,3017000,13
0.65,0.5,37327840,35326000,2018000,13
0.65,0.5,37972747,35994000,1999000,13
0.25,0.19,15716710,14718000,981000,13
0.68,0.53,35976426,33998000,1999000,13
0.63,0.48,35961563,32971000,2997000,13
0.68,0.55,32423525,30293000,1954000,13
0.25,0.19,15462806,13613000,1944000,13
0.64,0.49,35472950,33455000,2027000,13
0.76,0.59,42161964,41163000,1003000,13
0.85,0.68,43295570,42276000,1006000,13
0.66,0.51,35334414,33335000,1960000,13
0.67,0.52,37099098,34193000,2930000,13
0.63,0.49,35153075,34154000,1004000,13
0.69,0.53,37765822,35727000,2041000,13
0.66,0.51,36088598,35114000,1003000,13
1.42,1.1,78436415,71190000,7018000,14
3.38,2.69,173127150,171096000,2001000,14
10.48,8.66,440835844,433710000,6995000,14
4.29,3.43,214429079,204448000,9973000,14
4.75,3.8,234825586,222767000,12041000,14
3.32,2.62,171123634,161113000,10007000,14
4.49,3.61,219271106,215270000,4005000,14
3.07,2.46,153472315,146493000,6975000,14
4.9,3.92,240258900,233238000,7007000,14
3.64,2.9,181278980,170182000,11011000,14
2.61,2.07,131483228,114449000,16918000,14
4.91,3.92,240866064,224954000,15926000,14
4.1,3.26,207598502,192654000,14973000,14
5.17,4.14,250244760,239204000,11009000,14
3.63,2.88,186675489,185575000,997000,14
1.43,1.12,78965381,76996000,1999000,14
2.16,1.72,107398427,91343000,16060000,14
1.27,1,66637484,61595000,5048000,14
2.97,2.36,145390998,130338000,15039000,14
3.79,3.01,189093936,180069000,9003000,14
0.52,0.38,36494423,26827000,4292000,15
1.16,0.92,59548667,56396000,3021000,15
1.07,0.82,60293605,58301000,2010000,15
1.17,0.92,60840280,55748000,5068000,15
1,0.77,57667743,53701000,3977000,15
1.05,0.81,57921540,52941000,4994000,15
1.05,0.82,54599657,52648000,1986000,15
1.1,0.87,57166943,53075000,4005000,15
8.85,7.25,396494518,386463000,9986000,15
3.67,2.97,175249835,172289000,2987000,15
1.1,0.87,57468588,54498000,2972000,15
1.05,0.83,53755887,48867000,4886000,15
1.07,0.84,57231549,55189000,2006000,15
3.79,3.08,175760259,171729000,4017000,15
1.19,0.94,60732890,54880000,5880000,15
1.2,0.95,62021669,55058000,7007000,15
1.09,0.85,60398383,57361000,3019000,15
5.6,4.52,263939252,252779000,11034000,15
1.14,0.91,58495841,54458000,4033000,15
3.81,3.09,177449833,174302000,3005000,15
2.71,2.02,170847601,2178000,7265000,16
4.62,3.66,238714210,234699000,3994000,16
4.99,4.04,236747331,231635000,5013000,16
2.55,2.05,124091577,121032000,3000000,16
4.66,3.7,238799745,234795000,3996000,16
5.5,4.54,235749732,233726000,2006000,16
4.63,3.67,241913532,240856000,999000,16
4.77,3.81,239302195,235351000,3989000,16
2.87,2.22,129021300,124061000,5002000,16
4.69,3.74,238270310,237277000,1001000,16
4.79,3.81,243655539,236632000,7018000,16
4.66,3.72,236016032,231926000,4016000,16
8.68,6.89,393486322,247313000,146185000,16
3.77,3,190016450,188891000,999000,16
4.67,3.72,237130399,230983000,5973000,16
4.71,3.75,239361439,231373000,7978000,16
4.7,3.74,237825810,233704000,3994000,16
4.86,3.86,249004828,244899000,3998000,16
8.62,7.1,380181691,376076000,4000000,16
4.73,3.76,241013833,237032000,3983000,16
10.74,8.49,566729178,560454000,6004000,17
10.84,8.58,565473011,557486000,7992000,17
10.82,8.53,575615237,572607000,3003000,17
9.58,7.64,487770583,484800000,3004000,17
5.44,4.34,274805848,270806000,4011000,17
8.86,7.27,395051494,388034000,7000000,17
15.57,12.48,775117676,769034000,6000000,17
10.57,8.31,565205852,560152000,5001000,17
9.68,7.69,501636752,497579000,3996000,17
10.86,8.6,562539338,558428000,3995000,17
10.62,8.34,566228449,559231000,6990000,17
9.77,7.74,509549702,503562000,5994000,17
9.55,7.52,506755927,501638000,4996000,17
10.88,8.61,564901110,558828000,5998000,17
10.68,8.42,564949232,558992000,5989000,17
10.63,8.37,563665838,561526000,2001000,17
9.62,7.59,504672916,503694000,1001000,17
6.46,5.09,340148038,337118000,3001000,17
8.49,6.75,432658530,423544000,8990000,17
9.84,7.79,508140271,505104000,2994000,17
5,3.9,237263826,233019000,4000000,18
3.68,2.96,180904946,175890000,4996000,18
3.42,2.78,160019464,157939000,1999000,18
10.26,8.19,464761541,312796000,151901000,18
10.06,7.99,464694756,318767000,145893000,18
1.17,0.93,59312223,55002000,4000000,18
14.94,12.2,649044456,515969000,132992000,18
9.78,7.83,432482232,300623000,131834000,18
2.62,2.09,126629765,123616000,2990000,18
5.25,4.11,246822194,243724000,3008000,18
6.14,4.78,303074492,297075000,6001000,18
4.38,3.48,223750530,220610000,2994000,18
2.29,1.83,111370258,108388000,2983000,18
4.44,3.49,203517590,195483000,8019000,18
3.68,2.94,181808728,177798000,3995000,18
7.97,6.27,390620672,384538000,6008000,18
4.91,3.82,236383906,229388000,6981000,18
10.87,8.65,517407901,511228000,6002000,18
4.46,3.56,221334633,217174000,4003000,18
4.9,3.79,239097883,230978000,7999000,18
2.97,2.35,151018224,2157000,7295000,19
2.04,1.64,98152486,64087000,34046000,19
13.19,10.84,583855106,545834000,37988000,19
9.99,8.12,456888576,395897000,60984000,19
2.53,2.03,123591558,1011000,6869000,19
2.62,2.08,129436467,97315000,32103000,19
2.53,2.02,124900712,1819000,7270000,19
3.23,2.59,157626059,97767000,59857000,19
3.01,2.51,118382911,78569000,39782000,19
2.44,1.94,123028308,88029000,35011000,19
3.94,3.14,187274495,121173000,66094000,19
2.62,2.07,129713189,95768000,33918000,19
3.31,2.63,158993246,100983000,57990000,19
2,1.58,98764258,66837000,31922000,19
1.41,1.1,77634818,76708000,996000,19
2.57,2.05,124292220,2956000,5689000,19
3.6,2.87,168350511,108217000,60120000,19
3.34,2.65,159846053,97275000,62534000,19
8.84,7.2,403049029,374031000,29002000,19
6.59,5.4,290000984,246817000,43142000,19
0.27,0.2,18309328,14009000,4002000,20
0.03,0.02,2207431,1114000,1114000,20
0.76,0.59,41537434,40550000,1013000,20
0.31,0.24,18953792,16909000,2113000,20
0.67,0.51,39802632,36936000,2916000,20
0.06,0.05,1999539,1995000,0,20
0.36,0.27,22170959,21179000,1008000,20
0.74,0.58,40903000,39898000,997000,20
0.36,0.27,24222035,21222000,2894000,20
1.09,0.84,61583770,56596000,4964000,20
0.77,0.6,41720926,38631000,3049000,20
1.38,1.06,77483465,66517000,10920000,20
0.03,0.02,2096627,1062000,1062000,20
0.04,0.03,1939394,1932000,0,20
0.03,0.02,2321593,1168000,1168000,20
0.45,0.34,27538354,24491000,3061000,20
0.65,0.49,38538835,37535000,1014000,20
0.8,0.63,42043036,39087000,2931000,20
0.4,0.3,23149414,20074000,3011000,20
0.78,0.6,44431076,40465000,3947000,20
0.07,0.05,5473628,4179000,1044000,21
0.09,0.07,6618413,5526000,1105000,21
0.12,0.1,6251545,5212000,1042000,21
3.26,2.61,163432617,163354000,0,21
4.06,3.24,208162220,207210000,1001000,21
0.33,0.25,19470897,6812000,12651000,21
4.83,3.85,244158860,243178000,1000000,21
3.35,2.69,163088277,162118000,1000000,21
4.2,3.34,212752097,211792000,999000,21
0.44,0.34,26404285,18271000,8120000,21
3.76,3.02,186868382,184875000,2009000,21
1.31,1.05,63420855,48460000,14834000,21
0.23,0.17,14221661,9130000,5072000,21
0.23,0.18,13026292,10864000,2172000,21
0.1,0.08,7455265,6406000,1067000,21
4.19,3.35,209510164,208408000,997000,21
0.18,0.14,12026154,8028000,4014000,21
3.31,2.64,165320484,164037000,1000000,21
0.1,0.07,6496129,5647000,941000,21
0.64,0.48,36492935,29413000,6863000,21
0.25,0.19,16308610,13188000,2826000,22
0.63,0.48,36314027,33379000,2945000,22
0.61,0.47,35287672,34312000,1009000,22
0.26,0.19,16249966,11471000,4779000,22
0.26,0.21,14308226,10498000,3817000,22
0.64,0.49,37464413,35414000,2023000,22
0.24,0.18,14953677,13908000,1069000,22
0.66,0.51,36667784,32710000,3964000,22
0.27,0.21,15720853,13769000,1967000,22
0.23,0.17,15293761,14287000,1020000,22
0.62,0.48,36433044,33415000,3037000,22
0.27,0.2,16307735,14251000,2035000,22
0.66,0.51,37762835,35736000,2042000,22
0.26,0.19,15807662,13819000,1974000,22
0.63,0.49,35968723,34975000,999000,22
0.26,0.19,16498530,13424000,3097000,22
0.32,0.23,20254743,17199000,3035000,22
0.65,0.51,36354794,34338000,2019000,22
0.26,0.2,14978462,13956000,996000,22
0.26,0.2,14522682,12616000,1940000,22
0.81,0.63,47087147,41869000,4868000,23
3.1,2.5,149940541,142934000,6996000,23
3.75,3.1,162103143,153074000,9004000,23
3.09,2.49,149340988,144354000,5012000,23
1.59,1.24,84417007,78380000,6029000,23
1.73,1.37,88383773,75375000,13065000,23
1.56,1.23,80575565,73590000,6961000,23
1.42,1.13,73962027,70962000,2998000,23
2.9,2.41,109791279,92995000,16818000,23
3.33,2.7,156323780,149329000,7015000,23
3.26,2.64,153118700,149081000,4002000,23
1.39,1.08,74455549,67324000,7033000,23
1.45,1.16,71297994,68212000,3009000,23
