@relation 'problema-weka.filters.unsupervised.attribute.Remove-R3,5'

@attribute pkg numeric
@attribute cores numeric
@attribute gpu numeric
@attribute duration_time numeric
@attribute user_time numeric
@attribute system_time numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
1.83,1.47,0.03,88637079,85622000,3021000,2
1.77,1.42,0.03,86217534,84090000,2002000,2
0.92,0.69,0.02,56099256,55022000,1000000,2
0.77,0.6,0.01,41694450,39703000,2036000,2
1.81,1.46,0.03,85509775,84500000,1005000,2
1.73,1.36,0.03,90222105,87173000,3005000,2
0.99,0.78,0.02,52830480,50874000,1995000,2
0.78,0.61,0.01,43112932,41114000,2005000,2
0.78,0.61,0.01,42423011,37363000,5049000,2
1.9,1.53,0.03,92151031,84122000,8011000,2
0.75,0.58,0.01,41778412,38781000,2983000,2
1.78,1.43,0.03,87276867,85286000,1983000,2
2.16,1.71,0.04,108870475,104828000,3993000,2
2.27,1.79,0.04,117047928,110798000,5989000,2
1.77,1.43,0.03,84289995,79275000,4954000,2
1.87,1.51,0.03,88896472,85891000,2996000,2
0.83,0.65,0.02,44804909,39724000,4965000,2
0.76,0.59,0.01,41056747,39042000,2002000,2
1.8,1.43,0.03,90870976,85857000,4991000,2
0.79,0.61,0.01,42736885,37762000,4968000,2
1.27,1.02,0.02,63808393,58861000,4905000,2
1.05,0.83,0.02,54922693,53841000,1015000,2
2.39,1.88,0.04,125257903,116027000,9002000,3
2.59,2.06,0.04,130464417,123201000,7011000,3
2.69,2.15,0.05,133376627,129296000,3978000,3
2.2,1.74,0.04,113073781,109039000,4001000,3
4.98,3.99,0.08,243964031,192751000,51199000,3
4.18,3.35,0.07,201702415,195677000,6020000,3
6.51,5.25,0.11,311853178,263955000,47810000,3
8.75,7.22,0.12,362932538,313978000,48996000,3
4.33,3.49,0.07,205106999,201165000,3983000,3
2.4,1.9,0.04,121992662,116043000,5950000,3
2.39,1.89,0.04,121031793,114051000,7003000,3
6.75,5.44,0.11,322267824,259181000,63044000,3
2.76,2.18,0.05,141329689,130335000,11028000,3
4.76,3.81,0.08,232043721,168312000,63739000,3
6.45,5.21,0.1,306195994,258150000,48028000,3
4.65,3.72,0.08,230199873,166133000,64051000,3
4.47,3.58,0.07,218608568,170663000,47905000,3
4.76,3.8,0.08,235206442,186301000,48816000,3
2.31,1.83,0.04,115934576,109907000,6049000,3
2.43,1.93,0.04,122517873,113585000,8967000,3
2.5,1.99,0.04,122972451,115945000,6996000,3
2.42,1.92,0.04,122265697,116309000,5964000,3
4.58,3.67,0.08,224290742,173204000,51060000,3
