@relation problema-weka.filters.unsupervised.attribute.Remove-R3-8

@attribute pkg numeric
@attribute cores numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
1.25,1,1
5.34,4.23,1
1.65,1.32,1
8.51,6.99,1
10.95,8.69,1
1.28,1.02,1
1.41,1.15,1
5.88,4.68,1
0.85,0.66,1
0.47,0.35,1
1.65,1.33,1
7.82,6.31,1
0.8,0.63,1
1.81,1.46,1
0.63,0.48,1
6.04,4.81,1
0.66,0.51,1
3.46,2.73,1
0.41,0.31,1
0.6,0.46,1
7.77,6.22,1
1.3,1.04,1
0.47,0.36,1
0.44,0.34,1
0.75,0.59,1
1.59,1.27,1
0.72,0.56,1
1.4,1.11,1
0.66,0.51,1
4.57,3.72,1
0.42,0.32,1
1.38,1.1,1
2.53,1.99,1
6.62,5.29,1
0.67,0.52,1
1.36,1.08,1
1.36,1.08,1
2.55,2.03,1
0.68,0.51,1
10.01,7.98,1
1.24,0.99,1
2.86,2.31,1
1.82,1.47,1
10.53,8.51,1
1.29,1.03,1
0.5,0.37,1
1.26,1,1
1.21,0.97,1
0.38,0.28,1
0.79,0.62,1
5.17,4.21,1
1.29,1.03,1
11,8.73,1
4.7,3.82,1
0.77,0.59,1
1.75,1.39,2
1.78,1.42,2
2.22,1.76,2
2.36,1.99,2
0.99,0.77,2
1.82,1.47,2
1.93,1.59,2
1.8,1.45,2
0.76,0.59,2
0.81,0.63,2
1.64,1.3,2
1.71,1.35,2
1.86,1.51,2
1.77,1.42,2
0.76,0.58,2
0.74,0.55,2
0.78,0.6,2
1.85,1.5,2
0.75,0.57,2
0.76,0.59,2
1.9,1.53,2
1.9,1.53,2
1.72,1.37,2
1.72,1.36,2
0.84,0.64,2
1.84,1.5,2
1.79,1.43,2
1.92,1.57,2
1.77,1.43,2
3.75,3.05,2
1.82,1.47,2
2.13,1.68,2
1.79,1.42,2
0.76,0.59,2
0.73,0.56,2
0.8,0.62,2
0.78,0.6,2
1.79,1.43,2
1.92,1.53,2
1.79,1.44,2
0.74,0.57,2
1.82,1.46,2
0.89,0.69,2
0.78,0.6,2
1.8,1.44,2
0.75,0.57,2
0.76,0.58,2
0.82,0.63,2
3.47,2.78,2
1.75,1.4,2
0.81,0.65,2
1.76,1.41,2
1.76,1.4,2
1.82,1.45,2
0.76,0.59,2
0.76,0.59,2
3.3,2.64,2
1.8,1.44,2
1.83,1.47,2
1.77,1.42,2
0.92,0.69,2
0.77,0.6,2
1.81,1.46,2
1.73,1.36,2
0.99,0.78,2
0.78,0.61,2
0.78,0.61,2
1.9,1.53,2
0.75,0.58,2
1.78,1.43,2
2.16,1.71,2
2.27,1.79,2
1.77,1.43,2
1.87,1.51,2
0.83,0.65,2
0.76,0.59,2
1.8,1.43,2
0.79,0.61,2
1.27,1.02,2
1.05,0.83,2
2.39,1.88,3
2.59,2.06,3
2.69,2.15,3
2.2,1.74,3
4.98,3.99,3
4.18,3.35,3
6.51,5.25,3
8.75,7.22,3
4.33,3.49,3
2.4,1.9,3
2.39,1.89,3
6.75,5.44,3
2.76,2.18,3
4.76,3.81,3
6.45,5.21,3
4.65,3.72,3
4.47,3.58,3
4.76,3.8,3
2.31,1.83,3
2.43,1.93,3
2.5,1.99,3
2.42,1.92,3
4.58,3.67,3
4.1,3.32,3
6.96,5.65,3
7.94,6.38,3
2.32,1.84,3
4.19,3.37,3
6.63,5.37,3
6.66,5.38,3
2.45,1.95,3
2.57,2.06,3
4.32,3.47,3
7.05,5.7,3
2.43,1.93,3
6.38,5.14,3
4.79,3.85,3
2.86,2.27,3
2.46,1.95,3
7.54,6.12,3
6.96,5.63,3
2.73,2.17,3
6.43,5.19,3
2.5,1.98,3
2.49,1.98,3
6.59,5.31,3
2.38,1.88,3
9.22,7.46,3
6.62,5.38,3
4.9,3.93,3
2.47,1.97,3
4.89,3.94,3
2.47,1.97,3
4.94,3.97,3
6.96,5.63,3
4.95,3.97,3
2.29,1.82,3
2.28,1.81,3
2.35,1.86,3
4.82,3.87,3
6.75,5.46,3
2.5,1.98,3
3.17,2.53,3
2.51,2.01,3
4.74,3.81,3
6.76,5.46,3
2.46,1.96,3
6.59,5.32,3
2.41,1.9,3
2.67,2.13,3
4.86,3.9,3
4.59,3.69,3
4.31,3.47,3
6.5,5.25,3
6.98,5.64,3
2.48,1.97,3
4.82,3.87,3
2.25,1.78,3
6.98,5.65,3
2.47,1.97,3
4.79,3.74,4
2.75,2.16,4
6.53,5.25,4
6.26,5,4
4.5,3.59,4
2.59,2.04,4
4.45,3.52,4
7.13,5.76,4
2.84,2.24,4
6.91,5.52,4
6.33,5.07,4
6.28,5.03,4
4.43,3.51,4
6.44,5.18,4
4.71,3.74,4
4.6,3.67,4
4.37,3.46,4
4.48,3.55,4
4.54,3.59,4
6.44,5.17,4
5.08,4.02,4
7.72,6.18,4
4.52,3.59,4
6.56,5.26,4
6.59,5.3,4
4.54,3.61,4
2.6,2.05,4
5.06,4.06,4
4.46,3.59,4
4.99,3.94,4
4.4,3.5,4
4.52,3.59,4
4.67,3.74,4
4.53,3.63,4
8.42,6.68,4
4.46,3.54,4
4.35,3.45,4
6.51,5.23,4
4.59,3.65,4
4.74,3.79,4
4.57,3.68,4
4.39,3.48,4
2.4,1.88,4
4.65,3.7,4
6.32,5.07,4
4.41,3.53,4
3.19,2.5,4
4.75,3.83,4
4.56,3.64,4
4.39,3.46,4
5.25,4.16,4
4.23,3.35,4
2.84,2.23,4
5.3,4.27,4
6.18,4.97,4
6.41,5.15,4
2.79,2.19,4
5.38,4.25,4
4.57,3.63,4
6.4,5.13,4
10.91,8.74,4
4.1,3.25,4
7.86,6.32,4
2.86,2.24,4
4.44,3.52,4
4.34,3.45,4
3.22,2.54,4
4.57,3.67,4
4.47,3.55,4
6.36,5.11,4
4.43,3.52,4
4.52,3.58,4
2.6,2.03,4
6.55,5.27,4
6.47,5.2,4
4.4,3.51,4
3.11,2.45,4
2.76,2.19,4
6.47,5.2,4
4.55,3.59,4
4.7,3.64,5
6.33,5.07,5
4.66,3.7,5
6.22,4.98,5
6.49,5.2,5
4.42,3.5,5
3.71,2.9,5
6.42,5.16,5
4.58,3.64,5
4.48,3.56,5
4.4,3.48,5
6.42,5.14,5
3.79,3,5
5.14,4.09,5
4.44,3.53,5
4.44,3.52,5
4.72,3.74,5
4.41,3.5,5
6.07,4.86,5
5.52,4.41,5
4.48,3.55,5
5.55,4.44,5
4.45,3.53,5
3.53,2.78,5
4.5,3.59,5
6.47,5.19,5
5.06,4,5
5.83,4.61,5
4.5,3.56,5
5.34,4.27,5
5.73,4.58,5
6.41,5.14,5
5.23,4.15,5
4.49,3.57,5
4.81,3.83,5
4.43,3.51,5
4.41,3.5,5
3.34,2.63,5
6.35,5.09,5
4.53,3.59,5
4.57,3.64,5
4.39,3.48,5
4.6,3.66,5
4.6,3.66,5
6.96,5.52,5
5.55,4.44,5
3.47,2.74,5
4.6,3.63,5
5.21,4.12,5
3.95,3.11,5
4.54,3.6,5
8.48,6.71,5
3.88,3.05,5
6.16,4.94,5
5.62,4.48,5
5.21,4.12,5
4.56,3.63,5
5.51,4.33,5
7.06,5.69,5
5.28,4.2,5
6.39,5.12,5
9.2,7.4,5
5.15,4.08,5
4.68,3.74,5
6.17,4.93,5
6.45,5.18,5
6.63,5.35,5
6.42,5.15,5
6.39,5.12,5
4.56,3.63,5
4.17,3.31,5
4.61,3.65,5
4.57,3.64,5
3.83,3.02,5
6.44,5.17,5
6.35,5.1,5
6.41,5.16,5
4.28,3.41,5
4.39,3.49,5
4.87,3.94,5
7.3,5.95,6
5.59,4.54,6
1.89,1.52,6
7.75,6.13,6
7.99,6.36,6
7.26,5.87,6
6.38,5.19,6
5.94,4.7,6
6.04,4.86,6
3.27,2.61,6
7.25,5.91,6
3.91,3.11,6
3.36,2.68,6
2.14,1.69,6
5.72,4.64,6
8.17,6.6,6
2.01,1.61,6
6.82,5.44,6
7.58,6.14,6
1.67,1.33,6
7.84,6.2,6
2.7,2.13,6
1.63,1.3,6
12.14,9.79,6
3.62,2.9,6
7.25,5.87,6
8.92,7.24,6
11.9,9.55,6
11.87,9.51,6
12.21,9.85,6
1.78,1.43,6
8.34,6.61,6
7.1,5.66,6
11.08,9.02,6
1.64,1.32,6
4.7,3.79,6
4.5,3.6,6
11.68,9.41,6
2.19,1.75,6
8.65,6.84,6
2.07,1.67,6
1.77,1.4,6
8.64,6.85,6
2.01,1.6,6
1.58,1.26,6
11.98,9.62,6
1.93,1.53,6
7.06,5.72,6
6.91,5.6,6
10.01,8.08,6
1.94,1.56,6
8.4,6.65,6
7.37,5.98,6
2.06,1.66,6
6.18,5.06,6
2.32,1.86,6
5.89,4.83,6
8.54,6.93,6
12.19,9.82,6
8.11,6.46,6
3.33,2.66,6
3.06,2.45,6
3.89,3.1,6
7.26,5.9,6
7.06,5.72,6
6.04,4.91,6
9.42,7.51,6
1.73,1.39,6
5.78,4.71,6
8.68,6.89,6
1.89,1.51,6
3.69,2.96,6
5.87,4.8,6
1.8,1.44,6
1.83,1.46,6
4.65,3.74,6
6.24,5,6
1.84,1.48,6
5.86,4.77,6
3.39,2.73,6
8.12,6.55,7
3.15,2.55,7
6.32,5.11,7
8.06,6.5,7
3.08,2.44,7
1.99,1.58,7
2.6,2.08,7
2.63,2.12,7
2.58,2.08,7
2.62,2.11,7
4.1,3.38,7
3.74,3.06,7
2.62,2.11,7
7.9,6.37,7
2.06,1.67,7
8.07,6.51,7
2.6,2.08,7
7.79,6.31,7
2.4,1.92,7
8.06,6.52,7
2.67,2.17,7
2.69,2.18,7
4.06,3.29,7
8.88,7.17,7
2.65,2.13,7
2.58,2.05,7
8.11,6.54,7
3.42,2.78,7
2.93,2.34,7
2.57,2.08,7
6.91,5.54,7
2.66,2.15,7
8.7,7.03,7
2.7,2.19,7
7.61,6.16,7
8.08,6.51,7
9.27,7.5,7
8.03,6.47,7
2.7,2.18,7
2.64,2.11,7
1.97,1.56,7
8.14,6.52,7
6.99,5.65,7
2.02,1.62,7
8.35,6.78,7
5.31,4.32,7
2.68,2.17,7
8.86,7.14,7
4,3.26,7
8.19,6.6,7
2.71,2.19,7
8.84,7.07,7
7.68,6.16,7
6.98,5.58,7
2.01,1.61,7
2.24,1.82,7
2.78,2.26,7
8.4,6.82,7
9.1,7.4,7
2.71,2.2,7
2.58,2.09,7
8,6.46,7
9.5,7.68,7
8.27,6.67,7
2.9,2.34,7
2.11,1.73,7
8.41,6.81,7
3.64,2.97,7
7.03,5.69,7
4.14,3.42,7
6.73,5.48,7
8.17,6.57,7
2.65,2.14,7
3.06,2.5,7
4.04,3.31,7
8.18,6.66,7
2.03,1.62,7
7.11,5.77,7
8.27,6.69,7
8.15,6.6,7
5.47,4.45,8
4.38,3.55,8
4.99,4.07,8
6.03,4.84,8
3.35,2.71,8
3.7,2.99,8
10.75,8.77,8
4.08,3.3,8
13.51,10.96,8
3.36,2.71,8
4.3,3.51,8
3.28,2.64,8
9.6,7.83,8
3.48,2.81,8
3.91,3.14,8
3.28,2.65,8
11.43,9.29,8
2.85,2.31,8
9.19,7.5,8
6.36,5.14,8
4.01,3.25,8
5.85,4.77,8
4.09,3.31,8
6.43,5.21,8
2.88,2.31,8
4.8,3.88,8
9.83,8.03,8
9.31,7.58,8
10.59,8.64,8
4.17,3.35,8
9.44,7.67,8
3.41,2.74,8
3.28,2.65,8
3.63,2.93,8
4.53,3.66,8
7.28,5.78,8
3.39,2.73,8
4.55,3.67,8
3.58,2.88,8
4.89,3.96,8
3.42,2.75,8
4.31,3.49,8
5.92,4.82,8
11.91,9.64,8
4.17,3.37,8
5.15,4.19,8
3.78,3.06,8
4.07,3.26,8
3.19,2.58,8
3.99,3.25,8
3.6,2.89,8
3.55,2.85,8
5.8,4.74,8
4.42,3.57,8
3.51,2.83,8
3.32,2.69,8
3.37,2.71,8
13.75,11.2,8
4.52,3.68,8
12.91,10.54,8
4.24,3.46,8
3.59,2.9,8
9.95,8.13,8
3.43,2.74,8
9.38,7.61,8
10.94,8.9,8
2.9,2.33,8
7.16,5.76,8
4.25,3.44,8
9.86,8.03,8
4.1,3.33,8
3.21,2.59,8
9.74,7.91,8
9.86,8.03,8
7.83,6.29,8
10.89,8.85,8
11.88,9.6,8
4.95,4,8
9.36,7.62,8
3.29,2.65,8
1.11,0.89,9
1.08,0.86,9
0.46,0.36,9
1.08,0.85,9
1.09,0.85,9
0.32,0.24,9
0.1,0.08,9
1.24,0.99,9
1.76,1.53,9
1.09,0.86,9
0.33,0.25,9
0.74,0.57,9
0.44,0.34,9
1.06,0.84,9
0.08,0.06,9
0.52,0.4,9
1.1,0.9,9
1.12,0.9,9
0.32,0.24,9
3.04,2.4,9
0.36,0.27,9
0.43,0.33,9
1.18,0.93,9
0.09,0.07,9
0.34,0.26,9
0.32,0.24,9
0.09,0.06,9
1.1,0.86,9
1.15,0.91,9
1.18,0.96,9
1.1,0.87,9
0.48,0.35,9
0.51,0.4,9
1.16,0.92,9
2.79,2.21,9
1.1,0.88,9
0.47,0.35,9
0.08,0.06,9
1.09,0.86,9
0.39,0.3,9
0.48,0.36,9
0.32,0.24,9
0.32,0.25,9
0.54,0.4,9
0.11,0.08,9
0.16,0.13,9
1.1,0.87,9
1.14,0.91,9
0.08,0.06,9
0.32,0.24,9
0.08,0.06,9
0.47,0.36,9
0.47,0.36,9
0.29,0.22,9
0.33,0.25,9
0.4,0.31,9
0.34,0.26,9
0.1,0.07,9
1.19,0.95,9
1.11,0.9,9
0.09,0.07,9
0.08,0.06,9
1.07,0.84,9
0.33,0.25,9
0.36,0.28,9
0.3,0.23,9
0.32,0.24,9
1.15,0.91,9
0.45,0.34,9
1.16,0.92,9
1.16,0.93,9
0.13,0.09,9
1.44,1.16,9
0.09,0.07,9
1.1,0.88,9
0.38,0.29,9
0.23,0.18,9
0.08,0.06,9
1.12,0.89,9
0.09,0.06,9
1.67,1.29,10
1.89,1.5,10
1.7,1.32,10
1.36,1.05,10
1.8,1.41,10
1.7,1.33,10
2.18,1.73,10
1.94,1.54,10
1.87,1.47,10
2.57,2.07,10
3.53,2.84,10
3.63,2.92,10
1.31,1.07,10
4.01,3.16,10
1.08,0.83,10
3.42,2.76,10
3.18,2.54,10
1.84,1.45,10
1.82,1.43,10
1.3,1.02,10
1.22,0.97,10
1.11,0.88,10
1.68,1.3,10
1.15,0.91,10
1.71,1.35,10
3.3,2.65,10
3.15,2.54,10
1.82,1.43,10
1.61,1.26,10
3.1,2.48,10
2.72,2.16,10
2.84,2.25,10
3,2.42,10
2.19,1.75,10
1.82,1.44,10
1.26,1,10
3.37,2.71,10
1.89,1.49,10
2.83,2.28,10
2.55,2.06,10
1.22,0.97,10
2.33,1.84,10
1.21,0.96,10
1.15,0.91,10
1.33,1.04,10
3.18,2.55,10
3.18,2.54,10
2.64,2.14,10
2.61,2.1,10
2.9,2.35,10
3.56,2.87,10
4.94,3.98,10
4.38,3.44,10
2.1,1.66,10
2.44,1.93,10
1.86,1.45,10
1.17,0.92,10
1.88,1.48,10
1.85,1.47,10
1.88,1.48,10
3.3,2.66,10
3.52,2.83,10
1.75,1.39,10
1.91,1.51,10
1.16,0.92,10
1.78,1.4,10
1.68,1.31,10
3.79,3,10
3.54,2.83,10
2.62,2.1,10
2.16,1.72,10
2.01,1.6,10
2.85,2.31,10
2.57,2.07,10
5.16,4.16,10
1.38,1.09,10
1.1,0.87,10
1.19,0.93,10
1.43,1.12,10
3.43,2.77,10
1.19,0.93,11
1.44,1.15,11
1.37,1.13,11
1.89,1.53,11
1.36,1.08,11
10.08,8.16,11
2.09,1.67,11
7.98,6.52,11
1.23,0.99,11
2.06,1.66,11
1.19,0.92,11
1.22,0.96,11
1.37,1.07,11
1.18,0.94,11
1.47,1.18,11
1.28,1.02,11
1.22,0.97,11
1.63,1.31,11
1.24,1.01,11
2.26,1.83,11
1.23,0.98,11
8.11,6.64,11
1.18,0.92,11
1.2,0.95,11
1.24,1,11
1.25,0.97,11
8.54,6.91,11
1.21,0.97,11
1.2,0.94,11
1.15,0.91,11
1.54,1.25,11
2.22,1.79,11
1.34,1.08,11
1.27,1.02,11
1.22,0.97,11
1.85,1.5,11
1.4,1.12,11
1.94,1.56,11
1.92,1.53,11
9.09,7.49,11
1.9,1.54,11
1.21,0.96,11
8.97,7.37,11
1.16,0.92,11
1.21,0.96,11
2.32,1.85,11
1.35,1.07,11
8.46,6.92,11
0.82,0.65,11
3.45,2.79,11
16.55,13.57,11
1.25,1.02,11
1.16,0.91,11
8.3,6.8,11
1.93,1.54,11
2.07,1.68,11
1.46,1.17,11
1.45,1.15,11
8.21,6.71,11
1.67,1.36,11
1.22,0.97,11
8.43,6.91,11
1.76,1.42,11
1.27,1.02,11
1.22,0.97,11
1.31,1.05,11
8.18,6.68,11
1.65,1.34,11
1.32,1.08,11
1.58,1.28,11
1.45,1.15,11
1.68,1.36,11
1.67,1.35,11
1.59,1.29,11
3.09,2.49,11
1.25,0.98,11
8.6,7.08,11
1.38,1.11,11
1.34,1.08,11
8.42,6.9,11
2.77,2.22,12
3.59,2.85,12
2.8,2.26,12
0.84,0.65,12
5.11,4.06,12
0.99,0.77,12
5.53,4.39,12
2.65,2.14,12
2.84,2.3,12
1.03,0.82,12
2.79,2.26,12
1.03,0.81,12
2.71,2.18,12
2.79,2.26,12
1.02,0.8,12
2.96,2.37,12
4.28,3.39,12
4.75,3.83,12
2.2,1.75,12
2.93,2.34,12
2.73,2.21,12
2.66,2.16,12
0.8,0.61,12
1.34,1.06,12
2.72,2.21,12
2.74,2.23,12
2.79,2.25,12
0.8,0.62,12
2.79,2.26,12
2.85,2.31,12
0.73,0.55,12
4.99,4.04,12
5.14,4.14,12
0.93,0.73,12
2.92,2.37,12
0.92,0.72,12
3.2,2.59,12
5.36,4.34,12
0.79,0.62,12
2.81,2.26,12
2.78,2.23,12
0.95,0.77,12
2.31,1.85,12
2.87,2.27,12
0.87,0.66,12
1.03,0.8,12
2.83,2.29,12
2.74,2.22,12
5.63,4.52,12
6.42,5.16,12
2.65,2.11,12
2.79,2.25,12
2.84,2.29,12
0.79,0.62,12
2.69,2.18,12
1.16,0.91,12
3.15,2.51,12
2.92,2.34,12
1.27,1.02,12
2.13,1.69,12
1.36,1.09,12
2.92,2.39,12
2.99,2.42,12
0.92,0.72,12
0.94,0.74,12
1.13,0.9,12
0.75,0.56,12
4.96,4.03,12
4.88,3.95,12
3.46,2.76,12
1.02,0.8,12
1.04,0.82,12
4.61,3.72,12
1.05,0.82,12
2.88,2.34,12
5.42,4.39,12
0.93,0.73,12
0.8,0.63,12
0.95,0.74,12
2.87,2.33,12
0.27,0.19,13
0.62,0.48,13
0.71,0.55,13
0.33,0.25,13
0.66,0.52,13
0.67,0.53,13
0.25,0.19,13
0.31,0.23,13
0.61,0.47,13
0.66,0.51,13
0.73,0.57,13
0.3,0.22,13
0.64,0.5,13
0.3,0.23,13
0.66,0.51,13
0.26,0.19,13
0.67,0.51,13
0.63,0.48,13
0.24,0.17,13
0.63,0.49,13
0.68,0.53,13
0.66,0.53,13
0.71,0.56,13
0.68,0.53,13
0.27,0.21,13
0.7,0.54,13
0.26,0.2,13
0.66,0.51,13
0.68,0.53,13
0.69,0.53,13
0.06,0.04,13
0.75,0.6,13
0.26,0.2,13
0.65,0.52,13
0.36,0.28,13
0.29,0.21,13
0.25,0.19,13
0.34,0.26,13
0.67,0.53,13
0.64,0.49,13
0.8,0.63,13
0.25,0.2,13
0.61,0.46,13
0.26,0.2,13
0.26,0.2,13
0.25,0.19,13
0.67,0.52,13
0.61,0.47,13
0.66,0.51,13
0.62,0.47,13
0.61,0.47,13
0.27,0.2,13
0.31,0.23,13
0.68,0.52,13
0.65,0.51,13
0.68,0.54,13
0.64,0.49,13
0.65,0.51,13
0.62,0.47,13
0.69,0.53,13
0.63,0.48,13
0.64,0.49,13
0.71,0.56,13
0.63,0.49,13
0.66,0.52,13
0.38,0.29,13
0.24,0.18,13
0.63,0.47,13
0.69,0.56,13
0.25,0.19,13
0.64,0.49,13
0.71,0.55,13
0.69,0.53,13
0.81,0.67,13
0.26,0.2,13
0.25,0.19,13
0.75,0.6,13
0.68,0.53,13
0.61,0.46,13
0.69,0.54,13
1.53,1.24,14
3.74,3,14
3.63,2.9,14
0.41,0.32,14
3.45,2.76,14
10.06,8.25,14
3.54,2.8,14
4.92,3.92,14
4.27,3.4,14
4.24,3.42,14
3.69,2.94,14
2.16,1.71,14
2.09,1.66,14
4.51,3.6,14
4.54,3.62,14
1.07,0.83,14
1.68,1.33,14
4.57,3.68,14
3.99,3.19,14
4.42,3.53,14
4.5,3.59,14
4.34,3.49,14
0.28,0.21,14
4.8,3.84,14
0.73,0.55,14
4.04,3.23,14
3.76,2.97,14
1.53,1.2,14
1.2,0.94,14
2.8,2.24,14
3.38,2.68,14
2.31,1.85,14
4.49,3.59,14
5.72,4.6,14
3.12,2.5,14
8.57,6.97,14
3.63,2.88,14
4.93,3.94,14
2.96,2.36,14
4.19,3.33,14
5.01,4.02,14
4.2,3.36,14
5.2,4.15,14
5.13,4.08,14
3.62,2.88,14
5.04,4.05,14
2.74,2.18,14
5.16,4.13,14
1.45,1.13,14
4.67,3.73,14
3.08,2.47,14
4.96,3.96,14
2.27,1.82,14
2.43,1.93,14
1.59,1.26,14
5.39,4.33,14
4.8,3.84,14
3.03,2.43,14
5.76,4.6,14
2.63,2.06,14
5.3,4.27,14
3.82,3.01,14
5.5,4.42,14
4.62,3.7,14
1.5,1.19,14
4.55,3.63,14
5.22,4.18,14
2.58,2.06,14
4.85,3.88,14
1.43,1.12,14
2.29,1.82,14
2.71,2.14,14
1.26,0.98,14
1.39,1.1,14
4.25,3.4,14
4.58,3.69,14
2.26,1.78,14
4.09,3.32,14
1.74,1.38,14
3.87,3.07,14
1.06,0.81,15
2.89,2.29,15
1.08,0.85,15
1.17,0.92,15
1.08,0.85,15
0.47,0.37,15
1.15,0.91,15
3.69,2.99,15
1.35,1.07,15
3.79,3.06,15
1.36,1.05,15
1.11,0.87,15
1.28,1.02,15
1.04,0.81,15
3.88,3.14,15
1.17,0.93,15
1.06,0.81,15
1.09,0.86,15
1.08,0.85,15
5.19,4.19,15
1.07,0.84,15
1.14,0.9,15
1.17,0.91,15
3.77,3.03,15
1.03,0.8,15
3.79,3.07,15
1.13,0.89,15
1.07,0.83,15
1.18,0.94,15
1.88,1.5,15
1.22,0.97,15
1.07,0.84,15
3.98,3.23,15
3.77,3.05,15
8.95,7.31,15
1.08,0.85,15
1.21,0.96,15
1.29,1.02,15
3.72,3.01,15
1.25,0.98,15
1.86,1.48,15
1.11,0.87,15
1.11,0.88,15
2.14,1.74,15
3.95,3.22,15
1.18,0.93,15
3.75,3.03,15
1.07,0.84,15
1.11,0.87,15
1.05,0.82,15
1.08,0.86,15
1.16,0.92,15
1.44,1.15,15
1.19,0.94,15
3.88,3.17,15
3.76,3.03,15
1.21,0.96,15
1.17,0.92,15
3.74,3.01,15
1.27,1.01,15
1.1,0.87,15
3.71,3,15
3.95,3.22,15
1.2,0.96,15
3.79,3.08,15
2.07,1.67,15
3.82,3.1,15
3.74,3.04,15
1.12,0.87,15
1.14,0.88,15
4.21,3.43,15
3.83,3.1,15
6.07,4.87,15
3.7,3,15
1.25,0.99,15
5.52,4.43,15
1.13,0.9,15
1.12,0.88,15
1.24,0.98,15
3.8,3.08,15
4.82,3.84,16
4.66,3.7,16
2.66,2.18,16
2.92,2.29,16
4.67,3.71,16
4.72,3.75,16
3.27,2.6,16
4.89,3.88,16
4.76,3.8,16
4.74,3.78,16
4.84,3.86,16
3.41,2.73,16
3.41,2.72,16
8.33,6.85,16
4.84,3.88,16
4.75,3.8,16
3.02,2.41,16
4.71,3.74,16
3.27,2.62,16
7.36,6.05,16
9.15,6.97,16
11.15,9.19,16
4.76,3.8,16
4.79,3.83,16
4.81,3.83,16
3.34,2.69,16
4.85,3.87,16
4.76,3.79,16
2.63,2.09,16
2.97,2.31,16
3.68,2.96,16
4.78,3.81,16
4.85,3.85,16
4.75,3.77,16
4.78,3.8,16
8.7,7.14,16
9.01,7.21,16
4.79,3.81,16
2.67,2.15,16
3.12,2.43,16
3.74,2.97,16
4.94,3.95,16
4.74,3.76,16
3.94,3.13,16
6.04,4.81,16
4.97,3.96,16
4.77,3.8,16
4.77,3.79,16
4.99,3.98,16
7.77,6.31,16
4.79,3.82,16
4.9,3.9,16
4.76,3.79,16
4.84,3.86,16
4.87,3.89,16
2.47,1.97,16
3,2.4,16
7.73,6.34,16
8.96,7.41,16
5.05,4.05,16
4.78,3.82,16
3.72,2.99,16
2.95,2.35,16
10.67,8.77,16
5,3.98,16
8.85,7.33,16
2.73,2.21,16
4.86,3.89,16
11.15,9.13,16
4.82,3.83,16
4.87,3.9,16
3.56,2.84,16
4.9,3.9,16
4.91,3.92,16
9.89,8.12,16
11.86,9.71,16
4.79,3.81,16
3.27,2.6,16
4.92,3.95,16
4.9,3.91,16
10.65,8.38,17
14.69,11.98,17
9.63,7.59,17
9.64,7.62,17
7.54,5.94,17
11,8.67,17
8.75,7.01,17
10.78,8.5,17
11.36,9.23,17
5.04,4.03,17
6.04,4.79,17
4.96,3.98,17
9.7,7.67,17
8.56,6.84,17
18.23,14.48,17
8.34,6.58,17
5.51,4.4,17
3.11,2.44,17
5.32,4.25,17
