@relation problema
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'instructions' real
@attribute 'page-faults' real
@attribute 'power/energy-psys/' real
@attribute 'power/energy-pkg/' real
@attribute 'power/energy-cores/' real
@attribute 'power/energy-ram/' real
@attribute 'power/energy-gpu/' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
70565922,221353,46635073,179569,46873908,179370,133780,864857,100522730,3551,73029632,3162,1268,249927489,137,0.84,0.36,0.34,0.02,0.0,27310542,26020000,1000000,41224110,0
248070287,300198,153177990,696519,153215782,697466,211333,2201145,502857128,114854,249055602,40533,105661,763375258,131,4.17,1.66,1.61,0.07,0.0,135819467,104476000,31142000,149940574,0
250429148,262235,155277528,630506,155404792,630820,142516,2149346,502563949,114677,251471261,9985,105838,774370420,131,4.14,1.62,1.57,0.07,0.0,138194622,108091000,30025000,152175802,0
71467800,190861,46587021,182756,46541478,184162,157088,900908,99000549,4397,72823062,2634,1404,249044873,136,0.82,0.34,0.33,0.01,0.0,26727549,25551000,982000,40744650,0
251937798,321132,155881470,636967,155893573,637761,149976,2207060,514059323,114953,254191497,276751,430439,774772863,128,4.22,1.7,1.65,0.07,0.0,139216193,106056000,33017000,153312719,0
248148190,305704,153180463,636391,153569580,632580,187357,2197897,499812968,114750,248220876,19416,105352,761123596,129,4.15,1.64,1.6,0.07,0.0,135010328,98915000,35969000,148968533,0
70513403,219598,46576410,179020,46469462,180250,146015,907984,101743692,4229,73828312,3005,1587,252289463,135,0.85,0.34,0.34,0.02,0.0,27128438,24910000,1992000,41211303,0
251825039,297007,155397154,675306,155275959,674567,139541,2093742,506860438,115369,253973924,9566,105909,774310729,128,4.17,1.67,1.63,0.07,0.0,136777938,104722000,31915000,151031371,0
93726425,288345,62639836,433526,62988798,432521,223003,1724588,344452914,111566,94737614,62980,104346,327107909,134,2.71,1.02,0.99,0.05,0.0,93684792,21099000,72341000,107833079,0
251724955,320298,155510826,678951,155461529,678596,178971,2200412,506756582,114905,253857224,8382,105591,773088718,129,4.16,1.62,1.57,0.07,0.0,137791245,106729000,30921000,151939995,0
66206250,223888,43433370,180394,43428999,179655,134349,769290,95830162,3505,69975323,5219,1708,238204281,135,0.78,0.33,0.32,0.01,0.0,25848544,24671000,986000,39834953,0
75155815,165206,47498339,181597,47356503,182070,137011,888015,98612476,4856,74897547,2427,1303,260275360,139,0.9,0.36,0.34,0.02,0.0,27926249,26705000,989000,42122711,0
65379837,222942,43149284,180083,43173143,181750,141955,804078,94917533,5310,69052767,5074,1809,232822172,135,0.79,0.33,0.32,0.01,0.0,25612728,24320000,1013000,39594932,0
251432082,310579,155711222,651008,155758431,653047,226331,2284906,514998753,115290,254221900,306983,106083,773697467,128,4.24,1.66,1.62,0.07,0.0,138239243,103005000,35001000,152382359,0
252286491,312089,155903284,653299,155466306,651780,145907,2128370,503913227,114896,253181553,9393,105979,772744732,129,4.18,1.65,1.61,0.07,0.0,137091979,107947000,28985000,151336167,0
253112615,252960,155419479,635736,155328715,634469,139881,2126210,501003643,114786,253835839,9452,105563,774028004,129,4.15,1.66,1.6,0.07,0.0,136228209,107053000,29014000,150524931,0
252082638,321425,155938489,682199,155944680,681228,138951,2173667,507684621,115491,254779063,12542,246411,774452605,130,4.26,1.66,1.61,0.07,0.0,137221667,106041000,31012000,151359314,0
256251622,263323,156600364,637152,156668890,635985,206424,2261532,511313381,115235,256746754,187190,105882,783263339,129,4.44,1.69,1.63,0.07,0.0,138060231,107807000,29946000,152334905,0
252173695,284994,155558207,654391,155483320,656159,155057,2118531,509831074,114399,253503360,155696,105531,774793894,128,4.19,1.66,1.61,0.07,0.0,137747017,113531000,24112000,151721382,0
246335696,976835,152897654,678681,158122375,687389,163093,2193912,505923622,112688,257111305,94095,318957,766286653,323,4.12,1.66,1.61,0.07,0.0,137600684,122412000,15050000,151632932,0
70756708,200927,46442162,186611,46437684,186190,140126,897230,99954541,4030,72848837,2822,1273,248394903,134,0.82,0.34,0.33,0.01,0.0,26880696,26707000,0,41032532,0
252502280,300889,155906152,613961,156404999,615308,278153,2292152,510371239,114471,254576775,8938,105232,775271563,129,4.22,1.65,1.59,0.07,0.0,136098305,107751000,27935000,150293324,0
66347795,232337,43352595,184434,43520940,185308,158672,763885,95822270,3368,69505463,4904,2053,234848749,134,0.79,0.32,0.32,0.01,0.0,25802744,25636000,0,39916104,0
